department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA210,ENGR STATICS,NW,https://myplan.uw.edu/course/#/courses/AA210
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA299,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/AA299
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA302,INCOMP AERODYNAMICS ,,https://myplan.uw.edu/course/#/courses/AA302
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA312,STRUCT VIBRATIONS,,https://myplan.uw.edu/course/#/courses/AA312
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA321,AEROSPACE LAB I,,https://myplan.uw.edu/course/#/courses/AA321
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA331,AEROSPACE STRUCT I,,https://myplan.uw.edu/course/#/courses/AA331
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA406,ELECTRIC PROPULSION ,,https://myplan.uw.edu/course/#/courses/AA406
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA410,AIRCRAFT DESIGN I,,https://myplan.uw.edu/course/#/courses/AA410
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA419,AEROSPACE HEAT TSFR ,,https://myplan.uw.edu/course/#/courses/AA419
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA420,SPACE SYS DESIGN I,,https://myplan.uw.edu/course/#/courses/AA420
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA461,AIRBREATH PROPL,,https://myplan.uw.edu/course/#/courses/AA461
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA462,ROCKET PROPULSION,,https://myplan.uw.edu/course/#/courses/AA462
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/AA499
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA507,INCOMP FLUID MECH,,https://myplan.uw.edu/course/#/courses/AA507
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA516,STAB & CON FLT VEH,,https://myplan.uw.edu/course/#/courses/AA516
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA540,FINITE ELM ANLYS I,,https://myplan.uw.edu/course/#/courses/AA540
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA543,COMPRESSIBLE CFD,,https://myplan.uw.edu/course/#/courses/AA543
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA547,LINEAR SYSTEMS,,https://myplan.uw.edu/course/#/courses/AA547
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA556,SPACE AND LAB PHYS,,https://myplan.uw.edu/course/#/courses/AA556
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA559,PLASMA SCIENCE SMNR ,,https://myplan.uw.edu/course/#/courses/AA559
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA560,PLASMA DIAGNOSTICS,,https://myplan.uw.edu/course/#/courses/AA560
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA578,CONVEX OPTIMIZATION ,,https://myplan.uw.edu/course/#/courses/AA578
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA595,GLBL INT SYS ENGR,,https://myplan.uw.edu/course/#/courses/AA595
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA598,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/AA598
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA599,SPECIAL PROJECTS,,https://myplan.uw.edu/course/#/courses/AA599
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/AA600
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/AA700
Aeronautics and Astronautics (A A),A A,https://www.washington.edu/students/timeschd/WIN2021/aa.html,AA800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/AA800
