department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG199,ACCTG PROB SOLVING,,https://myplan.uw.edu/course/#/courses/ACCTG199
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG215,ACCTG & FIN REPRTNG ,,https://myplan.uw.edu/course/#/courses/ACCTG215
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG219,ACCOUNTING ESSNTLS,,https://myplan.uw.edu/course/#/courses/ACCTG219
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG225,MANAGERIAL ACCTG,,https://myplan.uw.edu/course/#/courses/ACCTG225
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG301,INTERMED ACCTG I,,https://myplan.uw.edu/course/#/courses/ACCTG301
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG302,INTERMED ACCTG II,,https://myplan.uw.edu/course/#/courses/ACCTG302
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG311,COST ACCOUNTING,,https://myplan.uw.edu/course/#/courses/ACCTG311
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG320,ACCTG ANALYTICS,,https://myplan.uw.edu/course/#/courses/ACCTG320
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG321,TAX EFF OF BUS DECS ,,https://myplan.uw.edu/course/#/courses/ACCTG321
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG411,AUDIT STANDRDS PRIN ,,https://myplan.uw.edu/course/#/courses/ACCTG411
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG440,ACC & FIN MGT DEC,,https://myplan.uw.edu/course/#/courses/ACCTG440
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG450,BUSINESS TAXATION,,https://myplan.uw.edu/course/#/courses/ACCTG450
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ACCTG499
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG501,MANAGERIAL ACCTG,,https://myplan.uw.edu/course/#/courses/ACCTG501
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG525,BUS & INTERN TAX,,https://myplan.uw.edu/course/#/courses/ACCTG525
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG531,TAX-TIMING-PERIODS,,https://myplan.uw.edu/course/#/courses/ACCTG531
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG535,CORPORATIONS II,,https://myplan.uw.edu/course/#/courses/ACCTG535
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG537,CONDUITS I,,https://myplan.uw.edu/course/#/courses/ACCTG537
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG540,TAX ETHICS AND CMU,,https://myplan.uw.edu/course/#/courses/ACCTG540
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG545,STATE & LOCAL TAX,,https://myplan.uw.edu/course/#/courses/ACCTG545
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG575,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/ACCTG575
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG576,EXP LEARNING PROJ,,https://myplan.uw.edu/course/#/courses/ACCTG576
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG577,INDEP RES PROJECT,,https://myplan.uw.edu/course/#/courses/ACCTG577
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG579,SPEC TOPICS ACCTNG,,https://myplan.uw.edu/course/#/courses/ACCTG579
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG580,PHD INTRO ACCT RES,,https://myplan.uw.edu/course/#/courses/ACCTG580
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG599,DOCTORAL SMNR-ACCTG ,,https://myplan.uw.edu/course/#/courses/ACCTG599
Accounting (ACCTG),ACCTG,https://www.washington.edu/students/timeschd/WIN2021/acctg.html,ACCTG600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/ACCTG600
