department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS103,INDIGENOUS PAC NW,"I&S,DIV",https://myplan.uw.edu/course/#/courses/AIS103
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS275,INTR INDGENOUS STDY ,I&S,https://myplan.uw.edu/course/#/courses/AIS275
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS308,AMER INDIAN & ENVIRO,"I&S,DIV",https://myplan.uw.edu/course/#/courses/AIS308
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS314,AM IND LANG-SALISH,,https://myplan.uw.edu/course/#/courses/AIS314
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS365,NATIVE NATION GOVERN,"I&S,DIV",https://myplan.uw.edu/course/#/courses/AIS365
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS375,TPCS INDGENOUS STDY ,I&S,https://myplan.uw.edu/course/#/courses/AIS375
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS377,CONTEMP AM IND LIT,"VLPA,DIV",https://myplan.uw.edu/course/#/courses/AIS377
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS379,POWWOW-TRAD & INNOV ,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/AIS379
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS497,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/AIS497
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS499,INDEPENDENT STUDY,VLPA/I&S,https://myplan.uw.edu/course/#/courses/AIS499
American Indian Studies (AIS),AIS,https://www.washington.edu/students/timeschd/WIN2021/ais.html,AIS590,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/AIS590
