department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH301,BEG SCI COMPUTING,NW,https://myplan.uw.edu/course/#/courses/AMATH301
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH342,NEURAL CODE COMPUTE ,,https://myplan.uw.edu/course/#/courses/AMATH342
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH351,DIFF EQUATIONS,NW,https://myplan.uw.edu/course/#/courses/AMATH351
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH352,LINR ALG & NUM ANLY ,NW,https://myplan.uw.edu/course/#/courses/AMATH352
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH383,INTRODUCT MODELING,NW,https://myplan.uw.edu/course/#/courses/AMATH383
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH402,DYNAMCL SYSTS&CHAOS ,NW,https://myplan.uw.edu/course/#/courses/AMATH402
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH423,MATH ANLYS BIO MED,NW,https://myplan.uw.edu/course/#/courses/AMATH423
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH482,COMP METH DATA ANLY ,,https://myplan.uw.edu/course/#/courses/AMATH482
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH498,SR PROJECT/THESIS,,https://myplan.uw.edu/course/#/courses/AMATH498
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH499,READING/RESEARCH,,https://myplan.uw.edu/course/#/courses/AMATH499
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH500,SPEC STDY APPL MATH ,,https://myplan.uw.edu/course/#/courses/AMATH500
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH502,INTRO DYN SYS & CH,,https://myplan.uw.edu/course/#/courses/AMATH502
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH515,FUNDAMNTL OPTIMIZTN ,,https://myplan.uw.edu/course/#/courses/AMATH515
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH523,MATH ANLYS BIO &MED ,,https://myplan.uw.edu/course/#/courses/AMATH523
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH562,ADV STOCH PROCESSES ,,https://myplan.uw.edu/course/#/courses/AMATH562
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH568,ADV METHODS ODE,,https://myplan.uw.edu/course/#/courses/AMATH568
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH582,COMP METH DATA ANLY ,,https://myplan.uw.edu/course/#/courses/AMATH582
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH585,BOUNDARY VALUE PROBS,,https://myplan.uw.edu/course/#/courses/AMATH585
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH600,INDEPNDNT RSCH/STDY ,,https://myplan.uw.edu/course/#/courses/AMATH600
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/AMATH601
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/AMATH700
Applied Mathematics (AMATH),AMATH,https://www.washington.edu/students/timeschd/WIN2021/appmath.html,AMATH800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/AMATH800
