department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ANEST499
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST501P,P-PRECEP ANESTHESIA ,,https://myplan.uw.edu/course/#/courses/ANEST501P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST654P,P-CHC/PAIN AK NAPM,,https://myplan.uw.edu/course/#/courses/ANEST654P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST657P,P-CHC VAMC SEA,,https://myplan.uw.edu/course/#/courses/ANEST657P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST662P,P-CHC/FAIRBANKS APCA,,https://myplan.uw.edu/course/#/courses/ANEST662P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST663,BASIC ANEST CHEY,,https://myplan.uw.edu/course/#/courses/ANEST663
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST665P,P-BASIC ANEST ANCH,,https://myplan.uw.edu/course/#/courses/ANEST665P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST670P,P-ADV ANEST GALLITAN,,https://myplan.uw.edu/course/#/courses/ANEST670P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST672,B ANEST BOISE VA,,https://myplan.uw.edu/course/#/courses/ANEST672
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST673,O/P PX REHAB - MT,,https://myplan.uw.edu/course/#/courses/ANEST673
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST675P,P-BASIC ANEST DEACON,,https://myplan.uw.edu/course/#/courses/ANEST675P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST683P,P-ADV ANEST VAMC,,https://myplan.uw.edu/course/#/courses/ANEST683P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST684P,P-ADV ANEST SPK,,https://myplan.uw.edu/course/#/courses/ANEST684P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST685P,P-ADV ANEST DEACON,,https://myplan.uw.edu/course/#/courses/ANEST685P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST686,BASIC ANEST KALISPEL,,https://myplan.uw.edu/course/#/courses/ANEST686
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST687,ADV ANEST KALISPELL ,,https://myplan.uw.edu/course/#/courses/ANEST687
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST688,ADV ANEST CHEY,,https://myplan.uw.edu/course/#/courses/ANEST688
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST690,BASIC ANEST WENATCHE,,https://myplan.uw.edu/course/#/courses/ANEST690
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST691,ADV ANEST WENATCHEE ,,https://myplan.uw.edu/course/#/courses/ANEST691
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST692,BASIC ANEST LAND,,https://myplan.uw.edu/course/#/courses/ANEST692
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST693P,P-ADV ANEST LAND,,https://myplan.uw.edu/course/#/courses/ANEST693P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST695P,P-CHC/PM-ROOS,,https://myplan.uw.edu/course/#/courses/ANEST695P
Anesthesiology (ANEST),ANEST,https://www.washington.edu/students/timeschd/WIN2021/anest.html,ANEST699P,P-WWAMI ANEST ELECT ,,https://myplan.uw.edu/course/#/courses/ANEST699P
