department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH204,READING ETHNOGRAPHY ,I&S,https://myplan.uw.edu/course/#/courses/ANTH204
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH215,MED ANTH/ GLBL HLTH ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/ANTH215
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH269,SPECIAL TOPICS,I&S,https://myplan.uw.edu/course/#/courses/ANTH269
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH311,CLTR POL DIET &NUTR ,I&S,https://myplan.uw.edu/course/#/courses/ANTH311
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH345,WOMEN INTL ECON DEV ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/ANTH345
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH369,SPEC PROB IN ANTH,I&S,https://myplan.uw.edu/course/#/courses/ANTH369
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH376,ANTH OF DISABILITY,"I&S,DIV",https://myplan.uw.edu/course/#/courses/ANTH376
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH377,ANTH & INTRNTL HLTH ,I&S,https://myplan.uw.edu/course/#/courses/ANTH377
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH408,EXPERIMENT SEA,I&S,https://myplan.uw.edu/course/#/courses/ANTH408
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH417,HANFORD HLTH DISPAR ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/ANTH417
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH425,ANTH POST-SOVIET,I&S,https://myplan.uw.edu/course/#/courses/ANTH425
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH453,FEMALE CIRCUMCISION ,I&S,https://myplan.uw.edu/course/#/courses/ANTH453
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH464,LANGUAGE POLITICS,VLPA/I&S,https://myplan.uw.edu/course/#/courses/ANTH464
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH466,ANTH HONORS THESIS,I&S,https://myplan.uw.edu/course/#/courses/ANTH466
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH477,MEDICINE IN AMERICA ,I&S,https://myplan.uw.edu/course/#/courses/ANTH477
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH479,ADV TOPICS MED ANTH ,,https://myplan.uw.edu/course/#/courses/ANTH479
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH489,ANTH PRACTICUM,,https://myplan.uw.edu/course/#/courses/ANTH489
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH494,Fem Performance Ethn,VLPA/I&S,https://myplan.uw.edu/course/#/courses/ANTH494
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ANTH499
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH566,THEORY SC ANTH,,https://myplan.uw.edu/course/#/courses/ANTH566
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH569,SPEC TOPICS SC ANTH ,,https://myplan.uw.edu/course/#/courses/ANTH569
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/ANTH600
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/ANTH700
Anthropology (ANTH),ANTH,https://www.washington.edu/students/timeschd/WIN2021/anthro.html,ANTH800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/ANTH800
