department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB102,ELEMENTARY ARABIC,,https://myplan.uw.edu/course/#/courses/ARAB102
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB202,INTERMED ARABIC,VLPA,https://myplan.uw.edu/course/#/courses/ARAB202
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB402,ARAB MEDIA,,https://myplan.uw.edu/course/#/courses/ARAB402
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB490,SUPERVISED STUDY,,https://myplan.uw.edu/course/#/courses/ARAB490
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB496,SPEC ST IN ARABIC,VLPA,https://myplan.uw.edu/course/#/courses/ARAB496
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ARAB499
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB512,ELEMENTARY ARABIC,,https://myplan.uw.edu/course/#/courses/ARAB512
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB522,INTERMEDIATE ARABIC ,,https://myplan.uw.edu/course/#/courses/ARAB522
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB542,ARAB MEDIA,,https://myplan.uw.edu/course/#/courses/ARAB542
Arabic (ARAB),ARAB,https://www.washington.edu/students/timeschd/WIN2021/arabic.html,ARAB600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/ARAB600
