department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY205,PRINCIPLES OF ARCHY ,I&S,https://myplan.uw.edu/course/#/courses/ARCHY205
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY208,INTRO ARCHY DATA SCI,NW,https://myplan.uw.edu/course/#/courses/ARCHY208
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY325,PACIFIC ARCHY,I&S,https://myplan.uw.edu/course/#/courses/ARCHY325
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY369,SPEC PROB ARCHY,I&S,https://myplan.uw.edu/course/#/courses/ARCHY369
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY466,ARCHY HONORS THESIS ,I&S,https://myplan.uw.edu/course/#/courses/ARCHY466
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY489,ARCHY PRACTICUM,I&S,https://myplan.uw.edu/course/#/courses/ARCHY489
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY490,MUS CURAT PRACTICUM ,,https://myplan.uw.edu/course/#/courses/ARCHY490
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ARCHY499
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY512,LOOTING AND LOSS,,https://myplan.uw.edu/course/#/courses/ARCHY512
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY525,PACIFIC ARCHY,,https://myplan.uw.edu/course/#/courses/ARCHY525
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY570,ARCHY THEORY SEM,,https://myplan.uw.edu/course/#/courses/ARCHY570
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY579,MATERIAL WORLD,,https://myplan.uw.edu/course/#/courses/ARCHY579
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/ARCHY600
Archaeology (ARCHY),ARCHY,https://www.washington.edu/students/timeschd/WIN2021/archeo.html,ARCHY601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/ARCHY601
