department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH150,APPREC OF ARCH I,VLPA,https://myplan.uw.edu/course/#/courses/ARCH150
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH151,APPREC OF ARCH II,VLPA,https://myplan.uw.edu/course/#/courses/ARCH151
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH201,ARCH DESIGN & REP 2 ,VLPA,https://myplan.uw.edu/course/#/courses/ARCH201
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH301,INTRO ARCH DES II,,https://myplan.uw.edu/course/#/courses/ARCH301
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH321,INTRO STRUCTURES II ,,https://myplan.uw.edu/course/#/courses/ARCH321
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH351,WORLD ARCH 700-1750 ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/ARCH351
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH362,ARCHITECTURE THEORY ,,https://myplan.uw.edu/course/#/courses/ARCH362
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH380,COMPUTERS IN ARCH,,https://myplan.uw.edu/course/#/courses/ARCH380
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH401,ARCH DESIGN V,,https://myplan.uw.edu/course/#/courses/ARCH401
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH404,INTEGRAT D/B STUDIO ,,https://myplan.uw.edu/course/#/courses/ARCH404
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH410,INTRO ARCH PHOTO,VLPA,https://myplan.uw.edu/course/#/courses/ARCH410
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH415,ARCH SKETCHING,,https://myplan.uw.edu/course/#/courses/ARCH415
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH439,LIGHTING DESIGN,,https://myplan.uw.edu/course/#/courses/ARCH439
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH452,SEATTLE ARCHITECTURE,I&S,https://myplan.uw.edu/course/#/courses/ARCH452
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH460,DESGN THRY & ANALYS ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/ARCH460
Architecture (ARCH),ARCH,https://www.washington.edu/students/timeschd/WIN2021/archit.html,ARCH468,ARCH CAPSTONE PREP,,https://myplan.uw.edu/course/#/courses/ARCH468
