department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH203,SURV WEST ART-MOD,VLPA,https://myplan.uw.edu/course/#/courses/ARTH203
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH233,NATIVE ART PNW,VLPA/I&S,https://myplan.uw.edu/course/#/courses/ARTH233
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH270,CONTEMP ART & IDENT ,VLPA,https://myplan.uw.edu/course/#/courses/ARTH270
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH309,TOPICS IN ART HIST,VLPA,https://myplan.uw.edu/course/#/courses/ARTH309
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH311,ART IMPERIAL CHINA,VLPA/I&S,https://myplan.uw.edu/course/#/courses/ARTH311
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH342,ROMAN ART & ARCHLGY ,VLPA,https://myplan.uw.edu/course/#/courses/ARTH342
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH361,ITALIAN REN ART,VLPA,https://myplan.uw.edu/course/#/courses/ARTH361
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH400,ART H AND CRITICISM ,VLPA,https://myplan.uw.edu/course/#/courses/ARTH400
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH444,GRK & ROMAN SCULPT,VLPA,https://myplan.uw.edu/course/#/courses/ARTH444
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH461,GNDR & SEX CLAS ART ,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/ARTH461
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH484,TOPICS MODERN ART,VLPA,https://myplan.uw.edu/course/#/courses/ARTH484
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH498,UNDERGRAD PRACTICUM ,,https://myplan.uw.edu/course/#/courses/ARTH498
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH499,INDIVIDUAL PROJECTS ,,https://myplan.uw.edu/course/#/courses/ARTH499
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH501,SMNR GEN FLD OF ART ,,https://myplan.uw.edu/course/#/courses/ARTH501
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH509,SEM TOPICS ART HIST ,,https://myplan.uw.edu/course/#/courses/ARTH509
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH581,SEMINAR MODERN ART,,https://myplan.uw.edu/course/#/courses/ARTH581
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH597,GRADUATE INTERNSHIP ,,https://myplan.uw.edu/course/#/courses/ARTH597
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH598,MASTER'S PRACTICUM,,https://myplan.uw.edu/course/#/courses/ARTH598
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH599,RDG-WRTG PROJECTS,,https://myplan.uw.edu/course/#/courses/ARTH599
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/ARTH600
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/ARTH700
Art History (ART H),ART H,https://www.washington.edu/students/timeschd/WIN2021/arthis.html,ARTH800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/ARTH800
