department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART131,ART&DESIGN APPROCHS ,VLPA,https://myplan.uw.edu/course/#/courses/ART131
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART140,BASIC PHOTO,VLPA,https://myplan.uw.edu/course/#/courses/ART140
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART190,INTRO TO DRAWING,VLPA,https://myplan.uw.edu/course/#/courses/ART190
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART200,ARTIST MINDSET,VLPA,https://myplan.uw.edu/course/#/courses/ART200
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART233,INTRO 3D4M GLASS,VLPA,https://myplan.uw.edu/course/#/courses/ART233
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART240,INT PHOTOMEDIA I,VLPA,https://myplan.uw.edu/course/#/courses/ART240
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART246,WORKS ON PAPER,VLPA,https://myplan.uw.edu/course/#/courses/ART246
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART253,INTRO TO CERAMICS,VLPA,https://myplan.uw.edu/course/#/courses/ART253
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART272,INTRO 3D4M SCULPT,VLPA,https://myplan.uw.edu/course/#/courses/ART272
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART290,BEG DRAWING FIGURE,VLPA,https://myplan.uw.edu/course/#/courses/ART290
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART292,BEGINNING PAINTING,VLPA,https://myplan.uw.edu/course/#/courses/ART292
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART302,RESEARCH/EXHIBITION ,VLPA,https://myplan.uw.edu/course/#/courses/ART302
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART333,NEW MATERIALS GLASS ,VLPA,https://myplan.uw.edu/course/#/courses/ART333
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART350,PRINTMKG SPEC PROJ,VLPA,https://myplan.uw.edu/course/#/courses/ART350
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART353,INTERM CERAMIC ART,VLPA,https://myplan.uw.edu/course/#/courses/ART353
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART360,TOPICS STUDIO ART,VLPA,https://myplan.uw.edu/course/#/courses/ART360
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART361,ISSUES CONTEMP ART,VLPA,https://myplan.uw.edu/course/#/courses/ART361
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART372,INTM APPR TO SCULPT ,VLPA,https://myplan.uw.edu/course/#/courses/ART372
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART390,INTERMED DRAWING,VLPA,https://myplan.uw.edu/course/#/courses/ART390
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART392,INTERMED PAINTING,VLPA,https://myplan.uw.edu/course/#/courses/ART392
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART393,INTRMED PAINT TOPICS,VLPA,https://myplan.uw.edu/course/#/courses/ART393
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART400,IVA SENIOR STUDIO,VLPA,https://myplan.uw.edu/course/#/courses/ART400
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART440,SENIOR PHOTOMEDIA,VLPA,https://myplan.uw.edu/course/#/courses/ART440
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART453,3D FORUM SNR STUDIO ,,https://myplan.uw.edu/course/#/courses/ART453
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART457,ART HANDMADE BOOKS,VLPA,https://myplan.uw.edu/course/#/courses/ART457
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART458,ALT APPROACHES DRAW ,VLPA,https://myplan.uw.edu/course/#/courses/ART458
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART490,ADV DRAWING,VLPA,https://myplan.uw.edu/course/#/courses/ART490
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART492,ADV PAINT/THE FIGURE,VLPA,https://myplan.uw.edu/course/#/courses/ART492
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART494,SR SEM PAINT-DRAW,VLPA,https://myplan.uw.edu/course/#/courses/ART494
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART496,ART INTERNSHIP,,https://myplan.uw.edu/course/#/courses/ART496
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART498,INDIV PROJ - ART,,https://myplan.uw.edu/course/#/courses/ART498
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART501,GRAD TEACH/MENTOR,,https://myplan.uw.edu/course/#/courses/ART501
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART515,GRAD PHOTOMEDIA,,https://myplan.uw.edu/course/#/courses/ART515
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART553,3D4M GRAD STUDIO,,https://myplan.uw.edu/course/#/courses/ART553
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART555,STUDIO TPC 3D FORUM ,,https://myplan.uw.edu/course/#/courses/ART555
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART561,ISSUES CONTEMP ART,,https://myplan.uw.edu/course/#/courses/ART561
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART590,CONTEMP PRACTICES,,https://myplan.uw.edu/course/#/courses/ART590
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART592,GRAD STUDIO:PAINT,,https://myplan.uw.edu/course/#/courses/ART592
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART594,GRAD SEM PAINT/DRAW ,,https://myplan.uw.edu/course/#/courses/ART594
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART595,MFA RESRCH PROJECT,,https://myplan.uw.edu/course/#/courses/ART595
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/ART600
Art (ART),ART,https://www.washington.edu/students/timeschd/WIN2021/art.html,ART700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/ART700
