department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS101,WEATHER,NW,https://myplan.uw.edu/course/#/courses/ATMS101
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS111,GLOBAL WARMING,I&S/NW,https://myplan.uw.edu/course/#/courses/ATMS111
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS220,EXPLORING ATMOS SCI ,NW,https://myplan.uw.edu/course/#/courses/ATMS220
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS290,WEATHER CHALLENGE,NW,https://myplan.uw.edu/course/#/courses/ATMS290
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS340,THERMODYN & CLOUDS,NW,https://myplan.uw.edu/course/#/courses/ATMS340
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS350,ECOLOG CLIMATOLOGY,NW,https://myplan.uw.edu/course/#/courses/ATMS350
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS370,ATM STRUC AND ANALY ,NW,https://myplan.uw.edu/course/#/courses/ATMS370
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS390,H-TUTORIAL ATM SCI,,https://myplan.uw.edu/course/#/courses/ATMS390
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS442,ATMOS MOTIONS II,NW,https://myplan.uw.edu/course/#/courses/ATMS442
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS451,INSTRUMENTS OBS,NW,https://myplan.uw.edu/course/#/courses/ATMS451
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS475,CLMT SCI RSRCH SMNR ,,https://myplan.uw.edu/course/#/courses/ATMS475
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS490,WEATHER ANALYSIS,NW,https://myplan.uw.edu/course/#/courses/ATMS490
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS493,MTR/CLMTL SPEC PROB ,NW,https://myplan.uw.edu/course/#/courses/ATMS493
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS495,EARTHGAMES STUDIO,,https://myplan.uw.edu/course/#/courses/ATMS495
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS497,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/ATMS497
Atmospheric Sciences (ATM S),ATM S,https://www.washington.edu/students/timeschd/WIN2021/atmos.html,ATMS499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ATMS499
