department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE210,GLOBAL BUILT ENV I,VLPA/I&S,https://myplan.uw.edu/course/#/courses/BE210
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE220,CITIES AND HEALTH,I&S,https://myplan.uw.edu/course/#/courses/BE220
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE405,BUILT ENV STUDIO,,https://myplan.uw.edu/course/#/courses/BE405
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE498,SPECIAL PROJECTS,,https://myplan.uw.edu/course/#/courses/BE498
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE505,BUILT ENVIR STUDIO,,https://myplan.uw.edu/course/#/courses/BE505
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE552,THRY/KNOW BUILT ENVR,,https://myplan.uw.edu/course/#/courses/BE552
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE597,DIRECTED READINGS,,https://myplan.uw.edu/course/#/courses/BE597
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE598,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/BE598
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE600,INDPNDNT STDY/RESCH ,,https://myplan.uw.edu/course/#/courses/BE600
Built Environment (B E),B E,https://www.washington.edu/students/timeschd/WIN2021/be.html,BE800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/BE800
