department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH339,BIOETHICS PERSP,"I&S,DIV",https://myplan.uw.edu/course/#/courses/BH339
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH444,ETH IMPL BIOTECH,,https://myplan.uw.edu/course/#/courses/BH444
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH474,JUSTICE HEALTH CARE ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/BH474
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH488,GLOBAL BIOETHICS,"I&S,DIV",https://myplan.uw.edu/course/#/courses/BH488
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/BH499
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH510,HUMANITIES IN MED,,https://myplan.uw.edu/course/#/courses/BH510
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH535,MED ETH & JURIS,,https://myplan.uw.edu/course/#/courses/BH535
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH544,ETH IMPL BIOTECH,,https://myplan.uw.edu/course/#/courses/BH544
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH574,JUSTICE HEALTHCARE,,https://myplan.uw.edu/course/#/courses/BH574
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH588,GLOBAL BIOETHICS,,https://myplan.uw.edu/course/#/courses/BH588
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH596,MASTERS PROJECT,,https://myplan.uw.edu/course/#/courses/BH596
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/BH600
Bioethics and Humanities (B H),B H,https://www.washington.edu/students/timeschd/WIN2021/bh.html,BH650,BH,,https://myplan.uw.edu/course/#/courses/BH650
