department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR498,H-UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/BSTR498
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/BSTR499
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR510,SEMINAR IN ANATOMY,,https://myplan.uw.edu/course/#/courses/BSTR510
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR515,BIOL X-RY STR ANLYS ,,https://myplan.uw.edu/course/#/courses/BSTR515
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR540,SPEC PROB IN ANAT,,https://myplan.uw.edu/course/#/courses/BSTR540
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR555,LAB ROTATION IN BST ,,https://myplan.uw.edu/course/#/courses/BSTR555
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR580P,P-ANAT PRACTICUM,,https://myplan.uw.edu/course/#/courses/BSTR580P
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR598,BIO STR READING,,https://myplan.uw.edu/course/#/courses/BSTR598
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/BSTR600
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/BSTR700
Biological Structure (B STR),B STR,https://www.washington.edu/students/timeschd/WIN2021/biostruct.html,BSTR800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/BSTR800
