department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME435,INFO HEALTHCARE,,https://myplan.uw.edu/course/#/courses/BIME435
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/BIME499
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME533,PH & INFORMATICS,,https://myplan.uw.edu/course/#/courses/BIME533
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME537,BIOINFORM RESEARCH,,https://myplan.uw.edu/course/#/courses/BIME537
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME550,KNOWLEDGE REP,,https://myplan.uw.edu/course/#/courses/BIME550
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME590,SELECTED TPCS BIME,,https://myplan.uw.edu/course/#/courses/BIME590
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME591,BHI RESRCH COLLOQU,,https://myplan.uw.edu/course/#/courses/BIME591
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME598,SP TPC IN INFOR,,https://myplan.uw.edu/course/#/courses/BIME598
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME600,INFORMATICS STY/RSH ,,https://myplan.uw.edu/course/#/courses/BIME600
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME700,INFORMAT THESIS,,https://myplan.uw.edu/course/#/courses/BIME700
Biomedical Informatics and Medical Education (BIME),BIME,https://www.washington.edu/students/timeschd/WIN2021/bime.html,BIME800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/BIME800
