department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA201,PRIN BIOLOGCL ANTH,NW,https://myplan.uw.edu/course/#/courses/BIOA201
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA208,SEX & EVOLUTION,I&S/NW,https://myplan.uw.edu/course/#/courses/BIOA208
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA344,BIOMECH HUMAN MOVE,"NW,QSR",https://myplan.uw.edu/course/#/courses/BIOA344
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA348,EVOL BIOL HUMAN DIV ,NW,https://myplan.uw.edu/course/#/courses/BIOA348
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA370,NONHUMAN PRIMATES,NW,https://myplan.uw.edu/course/#/courses/BIOA370
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA466,BIO ANTH HONORS THES,NW,https://myplan.uw.edu/course/#/courses/BIOA466
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA483,GENET CLTR DISEASE,NW,https://myplan.uw.edu/course/#/courses/BIOA483
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA484,HUMAN GROWTH & DEV,NW,https://myplan.uw.edu/course/#/courses/BIOA484
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/BIOA499
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA544,BIOMECH HUMAN MOVE,,https://myplan.uw.edu/course/#/courses/BIOA544
Biological Anthropology (BIO A),BIO A,https://www.washington.edu/students/timeschd/WIN2021/bioanth.html,BIOA600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/BIOA600
