department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC405,INTRO TO BIOCHEM,NW,https://myplan.uw.edu/course/#/courses/BIOC405
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC406,INTRO TO BIOCHEM,NW,https://myplan.uw.edu/course/#/courses/BIOC406
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC441,BIOCHEMISTRY,NW,https://myplan.uw.edu/course/#/courses/BIOC441
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC451,HONORS BIOCHEM,,https://myplan.uw.edu/course/#/courses/BIOC451
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/BIOC499
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC520,SEMINAR,,https://myplan.uw.edu/course/#/courses/BIOC520
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC533,TOPICS IN BIOCHEM,,https://myplan.uw.edu/course/#/courses/BIOC533
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC541,LITERATURE REVIEW,,https://myplan.uw.edu/course/#/courses/BIOC541
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC581,INTRO TO RESEARCH,,https://myplan.uw.edu/course/#/courses/BIOC581
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/BIOC600
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC650,TEACHING CLERKSHIP,,https://myplan.uw.edu/course/#/courses/BIOC650
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/BIOC700
Biochemistry (BIOC),BIOC,https://www.washington.edu/students/timeschd/WIN2021/bioch.html,BIOC800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/BIOC800
