department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN217,MATLAB FUNDAMENTALS ,,https://myplan.uw.edu/course/#/courses/BIOEN217
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN335,BIOTRANSPORT II,,https://myplan.uw.edu/course/#/courses/BIOEN335
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN336,SYSTEMS AND CONTROL ,,https://myplan.uw.edu/course/#/courses/BIOEN336
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN337,TRANS SYSTEMS LAB,,https://myplan.uw.edu/course/#/courses/BIOEN337
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN402,RESEARCH AND DESIGN ,,https://myplan.uw.edu/course/#/courses/BIOEN402
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN404,TEAM DESIGN I,,https://myplan.uw.edu/course/#/courses/BIOEN404
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN447,MRI & ULTRASOUND,,https://myplan.uw.edu/course/#/courses/BIOEN447
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN455,BIOMEMS,,https://myplan.uw.edu/course/#/courses/BIOEN455
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN463,OPTOGENETICS,,https://myplan.uw.edu/course/#/courses/BIOEN463
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN466,NEUROCOMP/ENGR LAB,NW,https://myplan.uw.edu/course/#/courses/BIOEN466
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN468,RT BIOSIGNAL PROC,,https://myplan.uw.edu/course/#/courses/BIOEN468
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN483,VASCULAR ENGINEERING,,https://myplan.uw.edu/course/#/courses/BIOEN483
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN487,BIOE & NANOTECH,,https://myplan.uw.edu/course/#/courses/BIOEN487
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN488,COMP PROTEIN DESIGN ,,https://myplan.uw.edu/course/#/courses/BIOEN488
Bioengineering (BIOEN),BIOEN,https://www.washington.edu/students/timeschd/WIN2021/bioeng.html,BIOEN491,CONTROLLED REL SYS,,https://myplan.uw.edu/course/#/courses/BIOEN491
