department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST310,BIOSTATISTICS,QSR,https://myplan.uw.edu/course/#/courses/BIOST310
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST425,INTRO NONPARAMETRIC ,NW,https://myplan.uw.edu/course/#/courses/BIOST425
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/BIOST499
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST512,MED BIOMETRY II,,https://myplan.uw.edu/course/#/courses/BIOST512
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST515,BIOSTATISTICS II,,https://myplan.uw.edu/course/#/courses/BIOST515
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST518,APPLIED BIOSTAT II,,https://myplan.uw.edu/course/#/courses/BIOST518
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST523,INFERENCE BIOM II,,https://myplan.uw.edu/course/#/courses/BIOST523
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST528,ADVD METHDS GH II,,https://myplan.uw.edu/course/#/courses/BIOST528
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST537,SRVL DTA ANLYS EPDM ,,https://myplan.uw.edu/course/#/courses/BIOST537
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST546,ML FOR HEALTH DATA,,https://myplan.uw.edu/course/#/courses/BIOST546
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST571,REGR METHODS: DEPT,,https://myplan.uw.edu/course/#/courses/BIOST571
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST580,BIOSTAT SMNR,,https://myplan.uw.edu/course/#/courses/BIOST580
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST581,STAT GEN SEMINAR,,https://myplan.uw.edu/course/#/courses/BIOST581
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST582,STUDENT SEMINAR,,https://myplan.uw.edu/course/#/courses/BIOST582
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST590,BIOSTAT CONSULTING,,https://myplan.uw.edu/course/#/courses/BIOST590
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/BIOST600
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/BIOST700
Biostatistics (BIOST),BIOST,https://www.washington.edu/students/timeschd/WIN2021/biostat.html,BIOST800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/BIOST800
