department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE392,BIORESOURCE TRNSPRT ,NW,https://myplan.uw.edu/course/#/courses/BSE392
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE399,UNDERGRAD INTERNSHIP,,https://myplan.uw.edu/course/#/courses/BSE399
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE410,INDSTR WASTEWATER,,https://myplan.uw.edu/course/#/courses/BSE410
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE420,BSE ENGR I,,https://myplan.uw.edu/course/#/courses/BSE420
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE436,PULP & PAPER LAB II ,,https://myplan.uw.edu/course/#/courses/BSE436
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE480,BIORESOURCE DSGN I,I&S/NW,https://myplan.uw.edu/course/#/courses/BSE480
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE489,FOREIGN STUDY,,https://myplan.uw.edu/course/#/courses/BSE489
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE490,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/BSE490
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE497,PLP & PPR INTERN,,https://myplan.uw.edu/course/#/courses/BSE497
Bioresource and  Science Engineering (BSE),BSE,https://www.washington.edu/students/timeschd/WIN2021/bse.html,BSE499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/BSE499
