department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT210,LIT AND SCIENCE,VLPA,https://myplan.uw.edu/course/#/courses/CLIT210
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT240,WRITING IN C LIT,C,https://myplan.uw.edu/course/#/courses/CLIT240
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT250,INTRO: LIT & CULTR,VLPA/I&S,https://myplan.uw.edu/course/#/courses/CLIT250
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT252,INTRO TO GENRES,VLPA,https://myplan.uw.edu/course/#/courses/CLIT252
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT295,STUDY ABROAD,,https://myplan.uw.edu/course/#/courses/CLIT295
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT321,LIT OF AMERICAS,VLPA,https://myplan.uw.edu/course/#/courses/CLIT321
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT322,ASIAN & WESTERN LIT ,VLPA,https://myplan.uw.edu/course/#/courses/CLIT322
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT357,LITERATURE & FILM,VLPA,https://myplan.uw.edu/course/#/courses/CLIT357
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT361,TPCS EARLY MOD LIT,VLPA,https://myplan.uw.edu/course/#/courses/CLIT361
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT362,TPCS IN MODERN LIT,VLPA,https://myplan.uw.edu/course/#/courses/CLIT362
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT395,STUDY ABROAD,,https://myplan.uw.edu/course/#/courses/CLIT395
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT396,SPEC STDYS COMP LIT ,VLPA,https://myplan.uw.edu/course/#/courses/CLIT396
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT400,INTRO THEORY & CRIT ,VLPA,https://myplan.uw.edu/course/#/courses/CLIT400
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT490,DIRECTED STDY/RSCH,,https://myplan.uw.edu/course/#/courses/CLIT490
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT491,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/CLIT491
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT495,HONORS THESIS,VLPA,https://myplan.uw.edu/course/#/courses/CLIT495
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT496,SPEC STDYS COMP LIT ,VLPA,https://myplan.uw.edu/course/#/courses/CLIT496
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT590,MA ESSAY,,https://myplan.uw.edu/course/#/courses/CLIT590
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT599,SPEC SEMINAR/CONFER ,,https://myplan.uw.edu/course/#/courses/CLIT599
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/CLIT600
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/CLIT700
Comparative Literature (C LIT),C LIT,https://www.washington.edu/students/timeschd/WIN2021/complit.html,CLIT800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/CLIT800
