department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED499,UNDERGRAD LAB RSCH,,https://myplan.uw.edu/course/#/courses/CMED499
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED512,ANAT ANLYS ANM DSES ,,https://myplan.uw.edu/course/#/courses/CMED512
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED514,COMP PATH CONF,,https://myplan.uw.edu/course/#/courses/CMED514
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED516,RES AND LIT REV SEM ,,https://myplan.uw.edu/course/#/courses/CMED516
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED518,CLIN CONF COMP PATH ,,https://myplan.uw.edu/course/#/courses/CMED518
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED521,BIOL OF LAB ANIMALS ,,https://myplan.uw.edu/course/#/courses/CMED521
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED531,LAB ANIM DISEASES,,https://myplan.uw.edu/course/#/courses/CMED531
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED590,SEL TOPICS ANIM MED ,,https://myplan.uw.edu/course/#/courses/CMED590
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED592,COMPARATIVE PATH,,https://myplan.uw.edu/course/#/courses/CMED592
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED600,RESEARCH,,https://myplan.uw.edu/course/#/courses/CMED600
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED601,INTERNSHIP ROTATION ,,https://myplan.uw.edu/course/#/courses/CMED601
Comparative Medicine (C MED),C MED,https://www.washington.edu/students/timeschd/WIN2021/compmed.html,CMED700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/CMED700
