department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE102,CEE CAREERS,,https://myplan.uw.edu/course/#/courses/CEE102
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE220,INTRO MECH OF MATLS ,NW,https://myplan.uw.edu/course/#/courses/CEE220
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE291,AUTOCAD,NW,https://myplan.uw.edu/course/#/courses/CEE291
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE297,FOREIGN STUDY,,https://myplan.uw.edu/course/#/courses/CEE297
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE299,INDEPENDENT PROJECT ,,https://myplan.uw.edu/course/#/courses/CEE299
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE307,CONSTRUCTION ENGR,,https://myplan.uw.edu/course/#/courses/CEE307
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE327,TRANSPORTATION ENGR ,,https://myplan.uw.edu/course/#/courses/CEE327
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE347,FLUID MECHANICS,,https://myplan.uw.edu/course/#/courses/CEE347
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE354,INTRO CHEM ENV ENG,,https://myplan.uw.edu/course/#/courses/CEE354
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE357,ENVIRONMENTAL ENGR,,https://myplan.uw.edu/course/#/courses/CEE357
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE367,GEOTECHNICAL ENGR,,https://myplan.uw.edu/course/#/courses/CEE367
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE377,INTRO STRUCT DESIGN ,,https://myplan.uw.edu/course/#/courses/CEE377
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE408,SUSTAINABLE ROADWAYS,,https://myplan.uw.edu/course/#/courses/CEE408
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE410,TRAFFIC ENGR FUND,,https://myplan.uw.edu/course/#/courses/CEE410
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE412,TRANSP DATA MGMT VIS,,https://myplan.uw.edu/course/#/courses/CEE412
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE434,PROJECT ESTMG,,https://myplan.uw.edu/course/#/courses/CEE434
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE453,PRESTRESSED CON DES ,,https://myplan.uw.edu/course/#/courses/CEE453
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE454,DSGN TIMBER STRUCTS ,,https://myplan.uw.edu/course/#/courses/CEE454
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE457,ADV STRUCT I,,https://myplan.uw.edu/course/#/courses/CEE457
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE475,GROUNDWATER FLOW,,https://myplan.uw.edu/course/#/courses/CEE475
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE477,OPEN-CHANNEL FLOW,,https://myplan.uw.edu/course/#/courses/CEE477
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE481,HYDR DESIGN ENV ENG ,,https://myplan.uw.edu/course/#/courses/CEE481
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE482,WASTEWTR REUSE/REC,,https://myplan.uw.edu/course/#/courses/CEE482
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE498,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/CEE498
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE499,INDPNDT STUDY/RSCH,,https://myplan.uw.edu/course/#/courses/CEE499
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE500,CEE SEMINARS,,https://myplan.uw.edu/course/#/courses/CEE500
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE600,INDEPENDENT STUDY,,https://myplan.uw.edu/course/#/courses/CEE600
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/CEE601
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/CEE700
Civil and Environmental Engineering (CEE),CEE,https://www.washington.edu/students/timeschd/WIN2021/cee.html,CEE800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/CEE800
