department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME299,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/CHEME299
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME326,CH E THERMODYNAMICS ,,https://myplan.uw.edu/course/#/courses/CHEME326
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME340,TRANSP PROCESS II,,https://myplan.uw.edu/course/#/courses/CHEME340
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME375,CH E COMPUTR SKILLS ,,https://myplan.uw.edu/course/#/courses/CHEME375
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME434,PHYSIO PROC NANOMED ,,https://myplan.uw.edu/course/#/courses/CHEME434
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME437,CHEM ENGR LAB II,,https://myplan.uw.edu/course/#/courses/CHEME437
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME480,PROC DYNM & CONTRL,,https://myplan.uw.edu/course/#/courses/CHEME480
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME485,PROCESS DESIGN I,,https://myplan.uw.edu/course/#/courses/CHEME485
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME491,CONTROLLED REL SYS,,https://myplan.uw.edu/course/#/courses/CHEME491
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME497,DESIGN SPEC PROJ,,https://myplan.uw.edu/course/#/courses/CHEME497
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME498,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/CHEME498
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/CHEME499
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME511,BIOMATERIAL SEMINAR ,,https://myplan.uw.edu/course/#/courses/CHEME511
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME514,ADV CHEME LAB,,https://myplan.uw.edu/course/#/courses/CHEME514
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME523,SMNR IN CHEM ENGR,,https://myplan.uw.edu/course/#/courses/CHEME523
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME534,PHYSIO PROC NANOMED ,,https://myplan.uw.edu/course/#/courses/CHEME534
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME545,DATA SCI CLEAN ENRG ,,https://myplan.uw.edu/course/#/courses/CHEME545
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME546,SW ENGR MOL DATA SCI,,https://myplan.uw.edu/course/#/courses/CHEME546
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME554,NANOSCALE SCI I,,https://myplan.uw.edu/course/#/courses/CHEME554
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME556,COLLOIDAL SYSTEMS,,https://myplan.uw.edu/course/#/courses/CHEME556
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME560,REACTNS AT SURFACES ,,https://myplan.uw.edu/course/#/courses/CHEME560
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME599,CURRENT TPCS CH E,,https://myplan.uw.edu/course/#/courses/CHEME599
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME600,INDEPENDNT STDY/RSH ,,https://myplan.uw.edu/course/#/courses/CHEME600
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/CHEME700
Chemical Engineering (CHEM E),CHEM E,https://www.washington.edu/students/timeschd/WIN2021/cheng.html,CHEME800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/CHEME800
