department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM110,PREP GEN CHEM,NW,https://myplan.uw.edu/course/#/courses/CHEM110
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM142,GENERAL CHEMISTRY,"NW,QSR",https://myplan.uw.edu/course/#/courses/CHEM142
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM152,GENERAL CHEMISTRY,"NW,QSR",https://myplan.uw.edu/course/#/courses/CHEM152
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM153,ACCELERATD GEN CHEM ,NW,https://myplan.uw.edu/course/#/courses/CHEM153
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM155,H-GENERAL CHEMISTRY ,"NW,QSR",https://myplan.uw.edu/course/#/courses/CHEM155
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM162,GENERAL CHEMISTRY,"NW,QSR",https://myplan.uw.edu/course/#/courses/CHEM162
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM198,TUTORIAL STUDY,,https://myplan.uw.edu/course/#/courses/CHEM198
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM199,SPECIAL PROBLEMS,,https://myplan.uw.edu/course/#/courses/CHEM199
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM220,PRINCIPLES CHEM II,NW,https://myplan.uw.edu/course/#/courses/CHEM220
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM224,ORG CHEM SHORT PROG ,NW,https://myplan.uw.edu/course/#/courses/CHEM224
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM237,ORGANIC CHEMISTRY,NW,https://myplan.uw.edu/course/#/courses/CHEM237
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM238,ORGANIC CHEMISTRY,NW,https://myplan.uw.edu/course/#/courses/CHEM238
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM239,ORGANIC CHEMISTRY,NW,https://myplan.uw.edu/course/#/courses/CHEM239
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM241,ORGANIC CHEM LAB,NW,https://myplan.uw.edu/course/#/courses/CHEM241
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM242,ORGANIC CHEM LAB,NW,https://myplan.uw.edu/course/#/courses/CHEM242
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM299,SPEC PROBS/RPT WRTG ,,https://myplan.uw.edu/course/#/courses/CHEM299
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM312,INORGANIC CHEMISTRY ,NW,https://myplan.uw.edu/course/#/courses/CHEM312
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM317,INORGANIC CHEM LAB,NW,https://myplan.uw.edu/course/#/courses/CHEM317
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM321,QUANTITATIVE ANLYS,NW,https://myplan.uw.edu/course/#/courses/CHEM321
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM336,H-ORGANIC CHEMISTRY ,NW,https://myplan.uw.edu/course/#/courses/CHEM336
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM346,H-ORGANIC CHEM LAB,NW,https://myplan.uw.edu/course/#/courses/CHEM346
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM399,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/CHEM399
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM417,ORGANOMETALLIC CHEM ,NW,https://myplan.uw.edu/course/#/courses/CHEM417
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM418,NUCLEAR CHEMISTRY,NW,https://myplan.uw.edu/course/#/courses/CHEM418
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM422,ANLYTIC SPECTROSCOPY,NW,https://myplan.uw.edu/course/#/courses/CHEM422
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM426,INSTRUMENTAL ANLYS,NW,https://myplan.uw.edu/course/#/courses/CHEM426
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM431,ADV SYN ORGNC CHEM,NW,https://myplan.uw.edu/course/#/courses/CHEM431
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM436,CHEMICAL BIOLOGY,NW,https://myplan.uw.edu/course/#/courses/CHEM436
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM452,PHYS CHEM BIOC I,NW,https://myplan.uw.edu/course/#/courses/CHEM452
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM453,PHYS CHEM BIOC II,NW,https://myplan.uw.edu/course/#/courses/CHEM453
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM456,PHYSICAL CHEMISTRY,NW,https://myplan.uw.edu/course/#/courses/CHEM456
Chemistry (CHEM),CHEM,https://www.washington.edu/students/timeschd/WIN2021/chem.html,CHEM463,SPECTRO TECHNIQUES,NW,https://myplan.uw.edu/course/#/courses/CHEM463
