department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID101,INTRO TO CHID,,https://myplan.uw.edu/course/#/courses/CHID101
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID120,YOGA PAST & PRESENT ,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/CHID120
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID250,SPECIAL TOPICS,I&S,https://myplan.uw.edu/course/#/courses/CHID250
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID260,RETHINK DIVERSITY,"I&S,DIV",https://myplan.uw.edu/course/#/courses/CHID260
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID270,SPECIAL TOPICS,I&S,https://myplan.uw.edu/course/#/courses/CHID270
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID335,SEX & DISABILITY,"I&S,DIV",https://myplan.uw.edu/course/#/courses/CHID335
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID370,CLTRL IMPACT TECH,VLPA/I&S,https://myplan.uw.edu/course/#/courses/CHID370
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID390,COLLOQ HIST IDEAS,I&S,https://myplan.uw.edu/course/#/courses/CHID390
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID399,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/CHID399
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID433,DISABLTY LAW & PLCY ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/CHID433
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID459,NARRATIVE JOURNALISM,VLPA/I&S,https://myplan.uw.edu/course/#/courses/CHID459
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID480,ADV SPECIAL TOPICS,I&S,https://myplan.uw.edu/course/#/courses/CHID480
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID491,SENIOR THESIS,I&S,https://myplan.uw.edu/course/#/courses/CHID491
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID492,SENIOR THESIS,I&S,https://myplan.uw.edu/course/#/courses/CHID492
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID493,SENIOR THESIS,I&S,https://myplan.uw.edu/course/#/courses/CHID493
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID495,CLOSE READINGS,I&S,https://myplan.uw.edu/course/#/courses/CHID495
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID496,FOCUS GROUPS,,https://myplan.uw.edu/course/#/courses/CHID496
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID497,PEER FACILITATORS,,https://myplan.uw.edu/course/#/courses/CHID497
Comparative History of Ideas (CHID),CHID,https://www.washington.edu/students/timeschd/WIN2021/chid.html,CHID499,UNDERGRAD IND STDY,,https://myplan.uw.edu/course/#/courses/CHID499
