department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN102,1ST-YR CHIN-NH,,https://myplan.uw.edu/course/#/courses/CHIN102
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN112,1ST-YR CHIN-H,,https://myplan.uw.edu/course/#/courses/CHIN112
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN202,2ND-YR CHIN-NH,VLPA,https://myplan.uw.edu/course/#/courses/CHIN202
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN212,2ND-YR CHIN-H,VLPA,https://myplan.uw.edu/course/#/courses/CHIN212
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN302,3RD YR NON HERITAGE ,VLPA,https://myplan.uw.edu/course/#/courses/CHIN302
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN385,POP CLTR 20-C CHINA ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/CHIN385
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN412,FOURTH-YEAR CHINESE ,VLPA,https://myplan.uw.edu/course/#/courses/CHIN412
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN452,FIRST-YR CLASSICAL,,https://myplan.uw.edu/course/#/courses/CHIN452
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN463,HISTORY CHIN LIT,VLPA,https://myplan.uw.edu/course/#/courses/CHIN463
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN473,EARLY MEDIEVAL CHINA,VLPA,https://myplan.uw.edu/course/#/courses/CHIN473
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/CHIN499
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN564,PHILOL & LEXICOLOGY ,,https://myplan.uw.edu/course/#/courses/CHIN564
Chinese (CHIN),CHIN,https://www.washington.edu/students/timeschd/WIN2021/chinese.html,CHIN585,SEMINAR POETRY,,https://myplan.uw.edu/course/#/courses/CHIN585
