department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS101,LAT & GRK CURR USE,VLPA,https://myplan.uw.edu/course/#/courses/CLAS101
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS205,BIOSCIENTIFIC VOCAB ,VLPA,https://myplan.uw.edu/course/#/courses/CLAS205
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS239,GREECE ANCNT TO MODN,VLPA/I&S,https://myplan.uw.edu/course/#/courses/CLAS239
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS324,GRK & ROM ATHLETICS ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/CLAS324
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS328,SEX & GENDER IN LIT ,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/CLAS328
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS335,THE AGE OF NERO,VLPA/I&S,https://myplan.uw.edu/course/#/courses/CLAS335
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS427,GRK ROM TRAG IN ENG ,VLPA,https://myplan.uw.edu/course/#/courses/CLAS427
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS430,GRK & ROM MYTHOLOGY ,VLPA,https://myplan.uw.edu/course/#/courses/CLAS430
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS432,CLAS MYTH IN FILM,VLPA,https://myplan.uw.edu/course/#/courses/CLAS432
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS490,SUPERVISED STUDY,,https://myplan.uw.edu/course/#/courses/CLAS490
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS495,SENIOR ESSAY,VLPA,https://myplan.uw.edu/course/#/courses/CLAS495
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/CLAS700
Classics (CLAS),CLAS,https://www.washington.edu/students/timeschd/WIN2021/clas.html,CLAS800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/CLAS800
