department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS240,WRITING IN CMS,C,https://myplan.uw.edu/course/#/courses/CMS240
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS270,FILM: INTRODUCTION,VLPA,https://myplan.uw.edu/course/#/courses/CMS270
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS274,MEDIA CRIT CONCEPT,VLPA,https://myplan.uw.edu/course/#/courses/CMS274
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS295,STUDY ABROAD,VLPA,https://myplan.uw.edu/course/#/courses/CMS295
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS304,TELEVISION STUDIES,VLPA,https://myplan.uw.edu/course/#/courses/CMS304
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS311,FILM HST: 1930-1959 ,VLPA,https://myplan.uw.edu/course/#/courses/CMS311
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS370,BASIC SCREENWRITING ,VLPA,https://myplan.uw.edu/course/#/courses/CMS370
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS395,STUDY ABROAD,VLPA,https://myplan.uw.edu/course/#/courses/CMS395
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS397,CMS SPECIAL TOPICS,VLPA/I&S,https://myplan.uw.edu/course/#/courses/CMS397
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS480,SENIOR CAPSTONE,VLPA,https://myplan.uw.edu/course/#/courses/CMS480
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS490,DIRECTED STUDY,,https://myplan.uw.edu/course/#/courses/CMS490
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS491,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/CMS491
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS497,CMS SPECIAL TOPICS,VLPA,https://myplan.uw.edu/course/#/courses/CMS497
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS520,MTHDS & ISS IN CMS,,https://myplan.uw.edu/course/#/courses/CMS520
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS570,MEDIA LAB,,https://myplan.uw.edu/course/#/courses/CMS570
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS590,MA ESSAY,,https://myplan.uw.edu/course/#/courses/CMS590
Cinema and Media Studies (CMS),CMS,https://www.washington.edu/students/timeschd/WIN2021/cms.html,CMS600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/CMS600
