department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM250,CONST AND CULTURE,I&S,https://myplan.uw.edu/course/#/courses/CM250
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM260,DIGITAL TOOLS,,https://myplan.uw.edu/course/#/courses/CM260
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM311,CONST DOCUMENTS,,https://myplan.uw.edu/course/#/courses/CM311
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM321,MECH SYSTEMS BLDGS,,https://myplan.uw.edu/course/#/courses/CM321
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM322,ELECTRICAL SYST BLD ,,https://myplan.uw.edu/course/#/courses/CM322
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM323,CONST METH & MAT II ,,https://myplan.uw.edu/course/#/courses/CM323
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM411,PROJ PLNG & CONTROL ,,https://myplan.uw.edu/course/#/courses/CM411
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM412,CONSTRUCTN PRACTICE ,,https://myplan.uw.edu/course/#/courses/CM412
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM421,PROJECT MGMT I,,https://myplan.uw.edu/course/#/courses/CM421
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM422,CONST COMPUTER APPL ,,https://myplan.uw.edu/course/#/courses/CM422
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM428,HEAVY CONST TECH,,https://myplan.uw.edu/course/#/courses/CM428
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM429,CONSTSUPER,,https://myplan.uw.edu/course/#/courses/CM429
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM432,SOILS & FOUNDATIONS ,,https://myplan.uw.edu/course/#/courses/CM432
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM498,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/CM498
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/CM499
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM515,VIRTUAL CONST MGMT,,https://myplan.uw.edu/course/#/courses/CM515
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM518,LEAN CONSTRUCTION,,https://myplan.uw.edu/course/#/courses/CM518
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM535,RSCH MTDS IN CONST,,https://myplan.uw.edu/course/#/courses/CM535
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM540,SUSTAINABLE CONST,,https://myplan.uw.edu/course/#/courses/CM540
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM588,CONST OPNS AND PROD ,,https://myplan.uw.edu/course/#/courses/CM588
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/CM600
Construction Management (CM),CM,https://www.washington.edu/students/timeschd/WIN2021/constmgmt.html,CM700,MASTER'S THESIS,,https://myplan.uw.edu/course/#/courses/CM700
