department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ505P,P-PAIN CLINIC PCPT,,https://myplan.uw.edu/course/#/courses/CONJ505P
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ511,GENOMIC DISSECTION,,https://myplan.uw.edu/course/#/courses/CONJ511
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ512,SCIENTIFIC SPEAKING ,,https://myplan.uw.edu/course/#/courses/CONJ512
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ513,CLIN MEDICAL GENET,,https://myplan.uw.edu/course/#/courses/CONJ513
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ515,INTRO TEAM CAR UNDRS,,https://myplan.uw.edu/course/#/courses/CONJ515
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ526,INTRO TO SYS BIO,,https://myplan.uw.edu/course/#/courses/CONJ526
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ530,HESC & MEDICINE,,https://myplan.uw.edu/course/#/courses/CONJ530
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ542,CELL BIO DEVELOPMENT,,https://myplan.uw.edu/course/#/courses/CONJ542
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ544,PROT STRUC MOD REG,,https://myplan.uw.edu/course/#/courses/CONJ544
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ550P,P-CLIN INFEC DIS,,https://myplan.uw.edu/course/#/courses/CONJ550P
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ558,PROKARYOTIC BIOLOGY ,,https://myplan.uw.edu/course/#/courses/CONJ558
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ570,TRANSGNDR PATIENTS,,https://myplan.uw.edu/course/#/courses/CONJ570
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ585,SURGICAL ANATOMY,,https://myplan.uw.edu/course/#/courses/CONJ585
Conjoint Courses (CONJ),CONJ,https://www.washington.edu/students/timeschd/WIN2021/conj.html,CONJ605P,P-INTRO PALL CONS,,https://myplan.uw.edu/course/#/courses/CONJ605P
