department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS221,STAT FOR SOC SCI,"NW,QSR",https://myplan.uw.edu/course/#/courses/CS&SS221
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS501,ADV POL RESEARCH,,https://myplan.uw.edu/course/#/courses/CS&SS501
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS504,APPLIED REGRESSION,,https://myplan.uw.edu/course/#/courses/CS&SS504
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS505,MATH FOR SOC SCIS,,https://myplan.uw.edu/course/#/courses/CS&SS505
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS533,RSCH MTHD DEMOGRPHY ,,https://myplan.uw.edu/course/#/courses/CS&SS533
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS544,EVENT HISTORY SEM,,https://myplan.uw.edu/course/#/courses/CS&SS544
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS554,STAT METHODS SPATIAL,,https://myplan.uw.edu/course/#/courses/CS&SS554
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS560,HIERARCH MODELING SS,,https://myplan.uw.edu/course/#/courses/CS&SS560
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS569,VISUALIZING DATA,,https://myplan.uw.edu/course/#/courses/CS&SS569
"Center for Statistics and Social Sciences
	(CS&SS)",CS&SS,https://www.washington.edu/students/timeschd/WIN2021/cs&ss.html,CS&SS590,CSSS SEMINAR,,https://myplan.uw.edu/course/#/courses/CS&SS590
