department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE142,COMPUTER PRGRMNG I,"NW,QSR",https://myplan.uw.edu/course/#/courses/CSE142
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE143,COMPUTER PRGRMNG II ,"NW,QSR",https://myplan.uw.edu/course/#/courses/CSE143
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE160,DATA PROGRAMMING,"NW,QSR",https://myplan.uw.edu/course/#/courses/CSE160
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE163,INTERM DATA PROGRAM ,,https://myplan.uw.edu/course/#/courses/CSE163
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE190,CURRENT TOPICS CSE,,https://myplan.uw.edu/course/#/courses/CSE190
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE301,CSE INTERNSHIP,,https://myplan.uw.edu/course/#/courses/CSE301
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE311,FOUNDATIONS COMP I,QSR,https://myplan.uw.edu/course/#/courses/CSE311
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE312,FOUNDATIONS COMP II ,QSR,https://myplan.uw.edu/course/#/courses/CSE312
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE331,SW DESIGN & IMPL,,https://myplan.uw.edu/course/#/courses/CSE331
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE332,DATA STRUC & PRLLEL ,,https://myplan.uw.edu/course/#/courses/CSE332
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE333,SYSTEMS PROGRAMMING ,,https://myplan.uw.edu/course/#/courses/CSE333
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE340,INTERACTION PROG,,https://myplan.uw.edu/course/#/courses/CSE340
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE341,PROGRAMMING LANGS,,https://myplan.uw.edu/course/#/courses/CSE341
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE344,INTRO DATA MGMT,,https://myplan.uw.edu/course/#/courses/CSE344
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE351,HW SW INTERFACE,,https://myplan.uw.edu/course/#/courses/CSE351
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE371,DIGITAL DESIGN,,https://myplan.uw.edu/course/#/courses/CSE371
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE373,DATA STRUC/ALGORITH ,,https://myplan.uw.edu/course/#/courses/CSE373
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE374,PROG CONCEPTS TOOLS ,,https://myplan.uw.edu/course/#/courses/CSE374
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE390,SPECIAL TOPICS CSE,,https://myplan.uw.edu/course/#/courses/CSE390
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE391,SOFTWARE TOOLS,,https://myplan.uw.edu/course/#/courses/CSE391
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE412,INTRO DATA VIS,,https://myplan.uw.edu/course/#/courses/CSE412
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE414,DATABASE SYSTEMS,,https://myplan.uw.edu/course/#/courses/CSE414
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE415,ARTIF INTELLIGENCE,NW,https://myplan.uw.edu/course/#/courses/CSE415
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE417,ALG & COMP COMPLEX,,https://myplan.uw.edu/course/#/courses/CSE417
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE421,INTRO TO ALGORITHMS ,,https://myplan.uw.edu/course/#/courses/CSE421
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE427,COMP BIOLOGY,,https://myplan.uw.edu/course/#/courses/CSE427
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE440,INTRODUCTION TO HCI ,,https://myplan.uw.edu/course/#/courses/CSE440
Computer Science and Engineering (CSE),CSE,https://www.washington.edu/students/timeschd/WIN2021/cse.html,CSE444,DATABASE INTERNALS,,https://myplan.uw.edu/course/#/courses/CSE444
