department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE101,DANC AMER EXPERIENC ,VLPA,https://myplan.uw.edu/course/#/courses/DANCE101
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE102,INTRO CONTEMP MODERN,VLPA,https://myplan.uw.edu/course/#/courses/DANCE102
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE103,INTRO TO BALLET,VLPA,https://myplan.uw.edu/course/#/courses/DANCE103
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE105,BEG CONTEMP MODERN,VLPA,https://myplan.uw.edu/course/#/courses/DANCE105
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE108,BEGINNING BALLET,VLPA,https://myplan.uw.edu/course/#/courses/DANCE108
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE202,INTERMEDIATE BALLET ,VLPA,https://myplan.uw.edu/course/#/courses/DANCE202
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE205,INT CONTEMP MODERN,VLPA,https://myplan.uw.edu/course/#/courses/DANCE205
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE211,JAZZ TECHNIQUE II,VLPA,https://myplan.uw.edu/course/#/courses/DANCE211
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE232,INTERMED ALTER MVMT ,VLPA,https://myplan.uw.edu/course/#/courses/DANCE232
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE234,WORLD DANCE & CLTR,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/DANCE234
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE236,SALSA/LATIN DANCE,VLPA,https://myplan.uw.edu/course/#/courses/DANCE236
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE238,SWING DANCE,VLPA,https://myplan.uw.edu/course/#/courses/DANCE238
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE245,DANCE IMPROVISATION ,VLPA,https://myplan.uw.edu/course/#/courses/DANCE245
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE266,DNCE COMPOSITION II ,VLPA,https://myplan.uw.edu/course/#/courses/DANCE266
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE270,DANCE PERFORMANCE,VLPA,https://myplan.uw.edu/course/#/courses/DANCE270
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE271,DANCE PROD-CREW,VLPA,https://myplan.uw.edu/course/#/courses/DANCE271
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE280,AFRICAN DANCE,VLPA,https://myplan.uw.edu/course/#/courses/DANCE280
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE286,STREET CLUB DANCES,VLPA,https://myplan.uw.edu/course/#/courses/DANCE286
Dance (DANCE),DANCE,https://www.washington.edu/students/timeschd/WIN2021/dance.html,DANCE302,ADVANCED BALLET,VLPA,https://myplan.uw.edu/course/#/courses/DANCE302
