department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL605,FOUNDATIONS OF IPE,,https://myplan.uw.edu/course/#/courses/DENTCL605
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL607,ETHICS/JURISPRUDENCE,,https://myplan.uw.edu/course/#/courses/DENTCL607
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL633,ENDO CLERKSHIP,,https://myplan.uw.edu/course/#/courses/DENTCL633
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL637,OMS CLERKSHIP,,https://myplan.uw.edu/course/#/courses/DENTCL637
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL638,PEDO ORTH CLERKSHIP ,,https://myplan.uw.edu/course/#/courses/DENTCL638
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL651,PROS CLERKSHIP 3,,https://myplan.uw.edu/course/#/courses/DENTCL651
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL652,PERIO CLERKSHIP 3,,https://myplan.uw.edu/course/#/courses/DENTCL652
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL654,OPER CLERKSHIP 3,,https://myplan.uw.edu/course/#/courses/DENTCL654
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL655,DXTX CLERKSHIP 3,,https://myplan.uw.edu/course/#/courses/DENTCL655
Dental Clerkship (DENTCL),DENTCL,https://www.washington.edu/students/timeschd/WIN2021/dentcl.html,DENTCL656,ORALM CLERKSHIP 3,,https://myplan.uw.edu/course/#/courses/DENTCL656
