department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC520,DENTAL OCCLUSION,,https://myplan.uw.edu/course/#/courses/DENTPC520
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC523,DENT MAT SCIENCE 1,,https://myplan.uw.edu/course/#/courses/DENTPC523
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC535,RMV PRT DENT DESIGN ,,https://myplan.uw.edu/course/#/courses/DENTPC535
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC565,DENT PRAC CONVRSTNS ,,https://myplan.uw.edu/course/#/courses/DENTPC565
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC570,OPERATIVE DENT 4,,https://myplan.uw.edu/course/#/courses/DENTPC570
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC571,FIXED PROS 2,,https://myplan.uw.edu/course/#/courses/DENTPC571
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC572,COMPLT DENTURES 2,,https://myplan.uw.edu/course/#/courses/DENTPC572
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC573,ORTHODONTICS 1,,https://myplan.uw.edu/course/#/courses/DENTPC573
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC574,ORAL PATHOLOGY 2,,https://myplan.uw.edu/course/#/courses/DENTPC574
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC576,CLIN ORAL RADIOLOGY ,,https://myplan.uw.edu/course/#/courses/DENTPC576
Dental Pre-Clinical (DENTPC),DENTPC,https://www.washington.edu/students/timeschd/WIN2021/dentpc.html,DENTPC577,PERIODONTICS 2,,https://myplan.uw.edu/course/#/courses/DENTPC577
