department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE205,INTRO SIGNAL COND,QSR,https://myplan.uw.edu/course/#/courses/EE205
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE215,INTRO TO E E,NW,https://myplan.uw.edu/course/#/courses/EE215
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE233,CIRCUIT THEORY,,https://myplan.uw.edu/course/#/courses/EE233
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE235,CT LINEAR SYSTEMS,,https://myplan.uw.edu/course/#/courses/EE235
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE271,DIGITAL CIR & SYSTE ,,https://myplan.uw.edu/course/#/courses/EE271
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE331,DEVICES/CIRCUITS I,,https://myplan.uw.edu/course/#/courses/EE331
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE341,DT LINEAR SYSTEMS,,https://myplan.uw.edu/course/#/courses/EE341
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE361,APPL EM,,https://myplan.uw.edu/course/#/courses/EE361
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE371,DIGITAL DESIGN,,https://myplan.uw.edu/course/#/courses/EE371
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE393,ADV TECH COMM,,https://myplan.uw.edu/course/#/courses/EE393
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE398,PROFESSIONAL ISSUES ,,https://myplan.uw.edu/course/#/courses/EE398
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE399,SPEC TPCS ELEC ENGR ,,https://myplan.uw.edu/course/#/courses/EE399
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE400,ADV TOPICS E E,,https://myplan.uw.edu/course/#/courses/EE400
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE417,MOD WIRELESS COMMS,,https://myplan.uw.edu/course/#/courses/EE417
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE421,QUANTUM MECH ENGRS,,https://myplan.uw.edu/course/#/courses/EE421
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE442,DIG SIG & FILTERING ,,https://myplan.uw.edu/course/#/courses/EE442
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE451,WIND ENERGY,,https://myplan.uw.edu/course/#/courses/EE451
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE455,POWER SYS DYN & PROT,,https://myplan.uw.edu/course/#/courses/EE455
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE458,POWER ELEC CONTROLS ,,https://myplan.uw.edu/course/#/courses/EE458
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE466,NEUROCOMP/ENGR LAB,NW,https://myplan.uw.edu/course/#/courses/EE466
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE469,COMPUTER ARCH I,,https://myplan.uw.edu/course/#/courses/EE469
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE474,INTRO EMBEDDED SYS,,https://myplan.uw.edu/course/#/courses/EE474
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE475,EMBEDDED CAPSTONE,,https://myplan.uw.edu/course/#/courses/EE475
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE477,VLSI II,,https://myplan.uw.edu/course/#/courses/EE477
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE490,READINGS & RESEARCH ,,https://myplan.uw.edu/course/#/courses/EE490
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE491,UNDERGRAD SEMINAR,,https://myplan.uw.edu/course/#/courses/EE491
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE492,LEADERSHIP SEMINAR,,https://myplan.uw.edu/course/#/courses/EE492
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE497,ENTREP CAPSTONE,,https://myplan.uw.edu/course/#/courses/EE497
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE499,UG RSCH-SP PROJECT,,https://myplan.uw.edu/course/#/courses/EE499
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE500,GRADUATE SEMINAR,,https://myplan.uw.edu/course/#/courses/EE500
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE501,ACADEMIC WRITING,,https://myplan.uw.edu/course/#/courses/EE501
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE506,FUND OF WIRE COMM,,https://myplan.uw.edu/course/#/courses/EE506
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE511,STAT LEARNING,,https://myplan.uw.edu/course/#/courses/EE511
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE521,QUANTUM MECH ENGRS,,https://myplan.uw.edu/course/#/courses/EE521
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE525,VLSI II,,https://myplan.uw.edu/course/#/courses/EE525
Electrical and Computer Engineering (E E),E E,https://www.washington.edu/students/timeschd/WIN2021/ee.html,EE527,MICROFABRICATION,,https://myplan.uw.edu/course/#/courses/EE527
