department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS200,INTRO TO ECFS,I&S,https://myplan.uw.edu/course/#/courses/ECFS200
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS301,EARLY CHLDHD CURRIC ,I&S,https://myplan.uw.edu/course/#/courses/ECFS301
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS303,SRVC LRNG & RES I,,https://myplan.uw.edu/course/#/courses/ECFS303
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS304,SRVC LRNG & RES II,,https://myplan.uw.edu/course/#/courses/ECFS304
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS315,PARENTING CHILD DEV ,DIV,https://myplan.uw.edu/course/#/courses/ECFS315
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS321,ENG ENV/INTERACTIONS,I&S,https://myplan.uw.edu/course/#/courses/ECFS321
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS400,CHLD OBSRV & ASSESS ,I&S,https://myplan.uw.edu/course/#/courses/ECFS400
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS402,SOCIAL POLICY,I&S,https://myplan.uw.edu/course/#/courses/ECFS402
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS403,SENIOR CAPSTONE,,https://myplan.uw.edu/course/#/courses/ECFS403
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS411,MATH &SCI PRESCHOOL ,I&S/NW,https://myplan.uw.edu/course/#/courses/ECFS411
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS495,ADV ECFC SEMINAR,,https://myplan.uw.edu/course/#/courses/ECFS495
Early Childhood and Family Studies (ECFS),ECFS,https://www.washington.edu/students/timeschd/WIN2021/ecfs.html,ECFS499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ECFS499
