department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON200,INTRO MICROECON,"I&S,QSR",https://myplan.uw.edu/course/#/courses/ECON200
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON201,INTRO MACROECON,"I&S,QSR",https://myplan.uw.edu/course/#/courses/ECON201
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON300,INTERMED MICRO-ECON ,I&S,https://myplan.uw.edu/course/#/courses/ECON300
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON301,INTERMED MACRO-ECON ,I&S,https://myplan.uw.edu/course/#/courses/ECON301
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON382,INTRO ECONOMETRICS,NW,https://myplan.uw.edu/course/#/courses/ECON382
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON399,ECON INTERNSHIP,,https://myplan.uw.edu/course/#/courses/ECON399
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON401,ADVANCED MACROECON,NW,https://myplan.uw.edu/course/#/courses/ECON401
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON409,UNDERG SEM-POL ECON ,I&S,https://myplan.uw.edu/course/#/courses/ECON409
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON411,BEHAVIORAL ECONOMICS,I&S,https://myplan.uw.edu/course/#/courses/ECON411
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON412,MACROECN & INEQLTY,I&S,https://myplan.uw.edu/course/#/courses/ECON412
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON422,INVESTM CAPTL FNANC ,I&S,https://myplan.uw.edu/course/#/courses/ECON422
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON424,COMPUTATNL FINANCE,NW,https://myplan.uw.edu/course/#/courses/ECON424
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON443,LABOR MKT ANALYSIS,I&S,https://myplan.uw.edu/course/#/courses/ECON443
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON448,POPULATION & DEVEL,"I&S,DIV",https://myplan.uw.edu/course/#/courses/ECON448
Economics (ECON),ECON,https://www.washington.edu/students/timeschd/WIN2021/econ.html,ECON471,INTERNATIONAL TRADE ,I&S,https://myplan.uw.edu/course/#/courses/ECON471
