department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I351,TEACHING PROFESSION ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/EDC&I351
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I359,LANG LRNG IN COMM,DIV,https://myplan.uw.edu/course/#/courses/EDC&I359
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I465,SOC STDYS EDUC-ELEM ,,https://myplan.uw.edu/course/#/courses/EDC&I465
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I494,WKSHP IMPRVE CURRIC ,,https://myplan.uw.edu/course/#/courses/EDC&I494
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I495,IMPRVMNT OF TEACHNG ,,https://myplan.uw.edu/course/#/courses/EDC&I495
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/EDC&I499
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I500,FIELD STUDY,,https://myplan.uw.edu/course/#/courses/EDC&I500
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I503,FOUNDATIONS OF C&I,,https://myplan.uw.edu/course/#/courses/EDC&I503
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I505,SEM IN CURR & INSTR ,,https://myplan.uw.edu/course/#/courses/EDC&I505
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I506,TOPICS RSCH MTHDS,,https://myplan.uw.edu/course/#/courses/EDC&I506
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I523,RACE EQUITY MATH ED ,,https://myplan.uw.edu/course/#/courses/EDC&I523
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I527,PEDAGOGIES PROF EDU ,,https://myplan.uw.edu/course/#/courses/EDC&I527
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I534,RDG COMP K-12,,https://myplan.uw.edu/course/#/courses/EDC&I534
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I571,SCI LEARNG DESIGN,,https://myplan.uw.edu/course/#/courses/EDC&I571
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I577,CURR ISSUES MATH ED ,,https://myplan.uw.edu/course/#/courses/EDC&I577
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I599,INDEP STUDIES EDUC,,https://myplan.uw.edu/course/#/courses/EDC&I599
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/EDC&I600
Curriculum and Instruction (EDC&I),EDC&I,https://www.washington.edu/students/timeschd/WIN2021/edci.html,EDC&I601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/EDC&I601
