department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY302,CHILD DVLPMNT &LRNG ,I&S,https://myplan.uw.edu/course/#/courses/EDPSY302
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY380,ADULT LEARN & DEV,I&S,https://myplan.uw.edu/course/#/courses/EDPSY380
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY404,ADL DEVELOPMENT,,https://myplan.uw.edu/course/#/courses/EDPSY404
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY406,LRN TEACH CHG WORLD ,I&S,https://myplan.uw.edu/course/#/courses/EDPSY406
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY490,BASIC EDUC STATSTCS ,"NW,QSR",https://myplan.uw.edu/course/#/courses/EDPSY490
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/EDPSY499
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY502,DEV FOUN EARLY LRNG ,,https://myplan.uw.edu/course/#/courses/EDPSY502
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY508,ADV PRACTICUM SMH,,https://myplan.uw.edu/course/#/courses/EDPSY508
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY510,COGNIT & SCH CURRIC ,,https://myplan.uw.edu/course/#/courses/EDPSY510
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY515,CUR ISS TECH AND ED ,,https://myplan.uw.edu/course/#/courses/EDPSY515
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY538,MULT REGRESS,,https://myplan.uw.edu/course/#/courses/EDPSY538
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY565,ADV PRACTM CLIN PRAC,,https://myplan.uw.edu/course/#/courses/EDPSY565
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY579,ADV PRAC NEURODEV,,https://myplan.uw.edu/course/#/courses/EDPSY579
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY581,SMNR EDUC PSYCH,,https://myplan.uw.edu/course/#/courses/EDPSY581
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY584,SEM IN QUAN METH,,https://myplan.uw.edu/course/#/courses/EDPSY584
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY588,SURVEY RESEARCH,,https://myplan.uw.edu/course/#/courses/EDPSY588
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY599,INDEP STUDIES EDUC,,https://myplan.uw.edu/course/#/courses/EDPSY599
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/EDPSY600
Educational Psychology (EDPSY),EDPSY,https://www.washington.edu/students/timeschd/WIN2021/edpsy.html,EDPSY601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/EDPSY601
