department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE304,EXCEPTIONAL CHLDRN,"I&S,DIV",https://myplan.uw.edu/course/#/courses/EDSPE304
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE422,"(DIS)ABILITY, ED,ART","VLPA,DIV",https://myplan.uw.edu/course/#/courses/EDSPE422
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE427,INTRO BHV ANALYSIS,I&S/NW,https://myplan.uw.edu/course/#/courses/EDSPE427
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE435,INTRO TO ASD,"I&S,DIV",https://myplan.uw.edu/course/#/courses/EDSPE435
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/EDSPE499
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE500,PRACTICUM,,https://myplan.uw.edu/course/#/courses/EDSPE500
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE503,CLSRM MANAGEMENT EL ,,https://myplan.uw.edu/course/#/courses/EDSPE503
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE507,INSTRUCT SEV DIS,,https://myplan.uw.edu/course/#/courses/EDSPE507
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE511,METH APPL BEH ANLYS ,,https://myplan.uw.edu/course/#/courses/EDSPE511
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE514,READING & WRITING,,https://myplan.uw.edu/course/#/courses/EDSPE514
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE517,PRACT RES SPEC EDUC ,,https://myplan.uw.edu/course/#/courses/EDSPE517
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE518,SMNR SPEC EDUC RSCH ,,https://myplan.uw.edu/course/#/courses/EDSPE518
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE519,LEARNRS W EXT NEEDS ,,https://myplan.uw.edu/course/#/courses/EDSPE519
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE520,SEM APPL SPEC ED,,https://myplan.uw.edu/course/#/courses/EDSPE520
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE526,SOC BEH ELE MLD DIS ,,https://myplan.uw.edu/course/#/courses/EDSPE526
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE527,BEHAVIOR PRINCIPLES ,,https://myplan.uw.edu/course/#/courses/EDSPE527
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE534,ABA PRINCIPLES B,,https://myplan.uw.edu/course/#/courses/EDSPE534
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE537,ASSESSMENT ABA B,,https://myplan.uw.edu/course/#/courses/EDSPE537
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE540,FIELDWORK SEM,,https://myplan.uw.edu/course/#/courses/EDSPE540
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE562,CURRIC ASSESS YC DIS,,https://myplan.uw.edu/course/#/courses/EDSPE562
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE563,FAM TEAM COLLAB,,https://myplan.uw.edu/course/#/courses/EDSPE563
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE564,INFANTS & TODDLERS,,https://myplan.uw.edu/course/#/courses/EDSPE564
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE599,INDEP STUDIES EDUC,,https://myplan.uw.edu/course/#/courses/EDSPE599
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/EDSPE600
Special Education (EDSPE),EDSPE,https://www.washington.edu/students/timeschd/WIN2021/sped.html,EDSPE601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/EDSPE601
