department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP503,QTR 3 ELEM FIELD,,https://myplan.uw.edu/course/#/courses/EDTEP503
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP522,TCH & LRN NUM II,,https://myplan.uw.edu/course/#/courses/EDTEP522
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP523,TCH & LRN SCI,,https://myplan.uw.edu/course/#/courses/EDTEP523
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP533,TCH & LRN LITRCY III,,https://myplan.uw.edu/course/#/courses/EDTEP533
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP544,DIFFERENTIATED INST ,,https://myplan.uw.edu/course/#/courses/EDTEP544
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP552,ASSESSMENT ELEM ED,,https://myplan.uw.edu/course/#/courses/EDTEP552
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP555,INDGENOUS PERSPECTVS,,https://myplan.uw.edu/course/#/courses/EDTEP555
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP561,TCHING & LRNING II,,https://myplan.uw.edu/course/#/courses/EDTEP561
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP563,ADOL DEV & EDUC II,,https://myplan.uw.edu/course/#/courses/EDTEP563
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP564,WORKING IN SCHOOLS,,https://myplan.uw.edu/course/#/courses/EDTEP564
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP595,SEC CAPSTONE,,https://myplan.uw.edu/course/#/courses/EDTEP595
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/EDTEP600
Education (Teacher Education Program) (EDTEP),EDTEP,https://www.washington.edu/students/timeschd/WIN2021/teached.html,EDTEP601,QTR 4 FIELD EXP,,https://myplan.uw.edu/course/#/courses/EDTEP601
