department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL102,COLLEGE READ & WRIT ,,https://myplan.uw.edu/course/#/courses/ENGL102
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL103,WRITING FRM SOURCES ,,https://myplan.uw.edu/course/#/courses/ENGL103
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL104,COLLEGE COMMUNICATN ,,https://myplan.uw.edu/course/#/courses/ENGL104
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL105,ENGL FOR INTL T.A.,,https://myplan.uw.edu/course/#/courses/ENGL105
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL108,WRITING READY,,https://myplan.uw.edu/course/#/courses/ENGL108
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL110,INTRODUCTORY COMP,C,https://myplan.uw.edu/course/#/courses/ENGL110
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL111,COMPOSITION: LIT,C,https://myplan.uw.edu/course/#/courses/ENGL111
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL115,WRITING STUDIO,,https://myplan.uw.edu/course/#/courses/ENGL115
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL121,COMPOSTN: SOC ISSUE ,C,https://myplan.uw.edu/course/#/courses/ENGL121
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL131,COMPOSITN: EXPOSITN ,C,https://myplan.uw.edu/course/#/courses/ENGL131
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL182,MULTIMODAL COMP,C,https://myplan.uw.edu/course/#/courses/ENGL182
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL197,WRITING HUM,C,https://myplan.uw.edu/course/#/courses/ENGL197
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL198,WRITING/SOC SCI,C,https://myplan.uw.edu/course/#/courses/ENGL198
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL199,WRITING NAT SCI,C,https://myplan.uw.edu/course/#/courses/ENGL199
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL200,READING LIT FORMS,VLPA,https://myplan.uw.edu/course/#/courses/ENGL200
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL201,ENGL IN HUMANITIES,VLPA,https://myplan.uw.edu/course/#/courses/ENGL201
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL202,INTRO ENGL LANG LIT ,VLPA,https://myplan.uw.edu/course/#/courses/ENGL202
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL207,INTRO CULTURE STUDY ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/ENGL207
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL210,LIT 400 TO 1600,VLPA,https://myplan.uw.edu/course/#/courses/ENGL210
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL213,MODERN/POST MOD LIT ,VLPA,https://myplan.uw.edu/course/#/courses/ENGL213
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL225,SHAKESPEARE,VLPA,https://myplan.uw.edu/course/#/courses/ENGL225
English (ENGL),ENGL,https://www.washington.edu/students/timeschd/WIN2021/engl.html,ENGL242,READ PROSE FICTION,VLPA,https://myplan.uw.edu/course/#/courses/ENGL242
