department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR101,ENGR EXPLORATION,,https://myplan.uw.edu/course/#/courses/ENGR101
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR102,STUDYING ENGR,,https://myplan.uw.edu/course/#/courses/ENGR102
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR105,INTRO ENGR DESIGN,,https://myplan.uw.edu/course/#/courses/ENGR105
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR115,ENGINEERING HEALTH,,https://myplan.uw.edu/course/#/courses/ENGR115
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR121,STARS CHEM PROBSOLV ,NW,https://myplan.uw.edu/course/#/courses/ENGR121
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR122,STARS PHYS PROBSOLV ,,https://myplan.uw.edu/course/#/courses/ENGR122
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR197,ENGR PROBLEM SOLV,,https://myplan.uw.edu/course/#/courses/ENGR197
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR199,SPECIAL PROJECTS,,https://myplan.uw.edu/course/#/courses/ENGR199
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR202,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/ENGR202
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR231,INTRO TECH COMM,,https://myplan.uw.edu/course/#/courses/ENGR231
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR297,VERT INT PROJECTS,,https://myplan.uw.edu/course/#/courses/ENGR297
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR320,ENGR CO-OP EDUC,,https://myplan.uw.edu/course/#/courses/ENGR320
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR321,ENGR INTERN EDUC,,https://myplan.uw.edu/course/#/courses/ENGR321
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR333,ADVANCED TECH COMM,,https://myplan.uw.edu/course/#/courses/ENGR333
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR401,PEERS: ENGR EQUITY,"I&S,DIV",https://myplan.uw.edu/course/#/courses/ENGR401
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR497,VERT INT PROJECTS,,https://myplan.uw.edu/course/#/courses/ENGR497
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR498,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/ENGR498
Engineering (ENGR),ENGR,https://www.washington.edu/students/timeschd/WIN2021/engr.html,ENGR601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/ENGR601
