department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE370,INTRO TO ENTREP,,https://myplan.uw.edu/course/#/courses/ENTRE370
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE422,INNOVATION STRATEGY ,,https://myplan.uw.edu/course/#/courses/ENTRE422
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE440,BUS PLAN PRACTICUM,,https://myplan.uw.edu/course/#/courses/ENTRE440
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE457,ENTREPRENEURIAL FIN ,,https://myplan.uw.edu/course/#/courses/ENTRE457
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE459,VENTURE INVESTING,,https://myplan.uw.edu/course/#/courses/ENTRE459
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE472,CREATING A COMPANY I,,https://myplan.uw.edu/course/#/courses/ENTRE472
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE473,CREATING A COMPANYII,,https://myplan.uw.edu/course/#/courses/ENTRE473
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE490,SPECIAL TOPICS ENTRE,,https://myplan.uw.edu/course/#/courses/ENTRE490
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ENTRE499
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE509,ENTR FOUNDATIONS,,https://myplan.uw.edu/course/#/courses/ENTRE509
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE522,INNOV STRATEGY,,https://myplan.uw.edu/course/#/courses/ENTRE522
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE532,SOFTWARE ENTREP,,https://myplan.uw.edu/course/#/courses/ENTRE532
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE540,BUSINESS PLAN PRACT ,,https://myplan.uw.edu/course/#/courses/ENTRE540
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE557,ENTREPRENEURIAL FIN ,,https://myplan.uw.edu/course/#/courses/ENTRE557
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE566,ENTREPRENURL MKTG II,,https://myplan.uw.edu/course/#/courses/ENTRE566
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE570,PERSUASION: PITCH&PR,,https://myplan.uw.edu/course/#/courses/ENTRE570
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE575,ENTRE LEADERSHIP,,https://myplan.uw.edu/course/#/courses/ENTRE575
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE579,SPEC TOPICS ENTREP,,https://myplan.uw.edu/course/#/courses/ENTRE579
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE581,THEORET FOUND ENTRE ,,https://myplan.uw.edu/course/#/courses/ENTRE581
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE595,VENTURE PLAN&EXECUTE,,https://myplan.uw.edu/course/#/courses/ENTRE595
Entrepreneurship (ENTRE),ENTRE,https://www.washington.edu/students/timeschd/WIN2021/entre.html,ENTRE600,INDEP ST IN ENTREP,,https://myplan.uw.edu/course/#/courses/ENTRE600
