department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH111,ENVR HLTH CONNECTS,I&S/NW,https://myplan.uw.edu/course/#/courses/ENVH111
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH220,ENV CHNG PUBLC HLTH ,I&S,https://myplan.uw.edu/course/#/courses/ENVH220
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH305,POISONS AND HEALTH,I&S/NW,https://myplan.uw.edu/course/#/courses/ENVH305
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH320,TECH COMM ENV H,,https://myplan.uw.edu/course/#/courses/ENVH320
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH418,CC HEALTH RISKS,,https://myplan.uw.edu/course/#/courses/ENVH418
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH427,LEADERSHIP IN PH II ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/ENVH427
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH433,MICRO SAMP & ANALYS ,NW,https://myplan.uw.edu/course/#/courses/ENVH433
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH446,HAZ WASTE & PH,,https://myplan.uw.edu/course/#/courses/ENVH446
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH448,AIR POLLUTION,,https://myplan.uw.edu/course/#/courses/ENVH448
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH452,CONTRL ENV MICR HAZ ,,https://myplan.uw.edu/course/#/courses/ENVH452
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH460,OCC SAFETY MGMT,,https://myplan.uw.edu/course/#/courses/ENVH460
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH480,UG SEMINAR,,https://myplan.uw.edu/course/#/courses/ENVH480
Environmental Health (ENV H),ENV H,https://www.washington.edu/students/timeschd/WIN2021/envh.html,ENVH482,EH INTERNSHIP,,https://myplan.uw.edu/course/#/courses/ENVH482
