department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR100,INTRO ENV STUDIES,I&S/NW,https://myplan.uw.edu/course/#/courses/ENVIR100
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR101,ORIENTATION TO ENVIR,,https://myplan.uw.edu/course/#/courses/ENVIR101
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR200,ENVIR COMMUNICATION ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/ENVIR200
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR201,CLIMATE GOVERNANCE,"I&S/NW,DIV",https://myplan.uw.edu/course/#/courses/ENVIR201
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR239,SUSTAINABLE CHOICES ,I&S/NW,https://myplan.uw.edu/course/#/courses/ENVIR239
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR243,ENVIRONMENTAL ETHICS,VLPA/I&S,https://myplan.uw.edu/course/#/courses/ENVIR243
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR250,RES METHODS ENV ST,"NW,QSR",https://myplan.uw.edu/course/#/courses/ENVIR250
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR295,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/ENVIR295
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR300,ANALYSIS ENV CASES,I&S/NW,https://myplan.uw.edu/course/#/courses/ENVIR300
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR308,AMER INDIAN & ENVIRO,"I&S,DIV",https://myplan.uw.edu/course/#/courses/ENVIR308
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR313,ENVIR EARTH SCI,NW,https://myplan.uw.edu/course/#/courses/ENVIR313
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR315,ENVIR PEDAGOGY,"I&S/NW,DIV",https://myplan.uw.edu/course/#/courses/ENVIR315
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR350,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/ENVIR350
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR400,PROFESSIONAL ENV COM,I&S,https://myplan.uw.edu/course/#/courses/ENVIR400
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR431,ECOPSYCHOLOGY,I&S,https://myplan.uw.edu/course/#/courses/ENVIR431
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR439,SUSTAINABLE SOCIETY ,"I&S/NW,DIV",https://myplan.uw.edu/course/#/courses/ENVIR439
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR478,SUSTAINABLE FISH,I&S/NW,https://myplan.uw.edu/course/#/courses/ENVIR478
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR480,SUSTNABILITY STUDIO ,,https://myplan.uw.edu/course/#/courses/ENVIR480
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR489,PEER TEACHING ENVIR ,,https://myplan.uw.edu/course/#/courses/ENVIR489
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR491,CAPSTONE INTERNSHIP ,,https://myplan.uw.edu/course/#/courses/ENVIR491
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR495,ADVANCED TOPICS,,https://myplan.uw.edu/course/#/courses/ENVIR495
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR498,INDEPENDENT STUDY,,https://myplan.uw.edu/course/#/courses/ENVIR498
Program on the Environment (ENVIR),ENVIR,https://www.washington.edu/students/timeschd/WIN2021/envst.html,ENVIR499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ENVIR499
