department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI320,INTRO TO EPIDEMIOL,NW,https://myplan.uw.edu/course/#/courses/EPI320
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/EPI499
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI502,PHYS ACTIV IN H & D ,,https://myplan.uw.edu/course/#/courses/EPI502
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI513,EPIDEM METHODS II,,https://myplan.uw.edu/course/#/courses/EPI513
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI519,CV EPI,,https://myplan.uw.edu/course/#/courses/EPI519
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI520,INFECT DIS EPI,,https://myplan.uw.edu/course/#/courses/EPI520
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI521,MAT CHILD EPI PROB,,https://myplan.uw.edu/course/#/courses/EPI521
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI524,CANCER EPI AND BIOL ,,https://myplan.uw.edu/course/#/courses/EPI524
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI537,SRVL DTA ANLYS EPDM ,,https://myplan.uw.edu/course/#/courses/EPI537
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI548,SOCIAL DETERMINANTS ,,https://myplan.uw.edu/course/#/courses/EPI548
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI553,ADVD METHDS GH II,,https://myplan.uw.edu/course/#/courses/EPI553
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI583,EPIDEMIOL SEMINAR,,https://myplan.uw.edu/course/#/courses/EPI583
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI584,DOC DISSERTATION SEM,,https://myplan.uw.edu/course/#/courses/EPI584
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI591,CURRENT LIT IN EPI,,https://myplan.uw.edu/course/#/courses/EPI591
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI592,PROGRAM SEMINARS,,https://myplan.uw.edu/course/#/courses/EPI592
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI593,CANCER PREV RES,,https://myplan.uw.edu/course/#/courses/EPI593
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI594,FIELD EPI,,https://myplan.uw.edu/course/#/courses/EPI594
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI595,MASTERS PRACTICUM,,https://myplan.uw.edu/course/#/courses/EPI595
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/EPI600
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/EPI700
Epidemiology (EPI),EPI,https://www.washington.edu/students/timeschd/WIN2021/epidem.html,EPI800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/EPI800
