department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM150,WILDLIFE MOD WORLD,I&S/NW,https://myplan.uw.edu/course/#/courses/ESRM150
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM200,SOC & ENVIRONMENTS,I&S/NW,https://myplan.uw.edu/course/#/courses/ESRM200
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM250,INTRO TO GIS,"NW,QSR",https://myplan.uw.edu/course/#/courses/ESRM250
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM300,SUSTAINABILITY SMNR ,I&S/NW,https://myplan.uw.edu/course/#/courses/ESRM300
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM399,FIELD/TEACH INTERN,,https://myplan.uw.edu/course/#/courses/ESRM399
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM400,CONFLICT MGMT,I&S/NW,https://myplan.uw.edu/course/#/courses/ESRM400
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM410,FOR SOILS SITE PROD ,NW,https://myplan.uw.edu/course/#/courses/ESRM410
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM422,PLANT MICRO SEMINAR ,,https://myplan.uw.edu/course/#/courses/ESRM422
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM423,INT TRADE MKT ENVIR ,I&S/NW,https://myplan.uw.edu/course/#/courses/ESRM423
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM431,ECOPSYCHOLOGY,I&S,https://myplan.uw.edu/course/#/courses/ESRM431
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM450,WILD ECOL CONSERV,NW,https://myplan.uw.edu/course/#/courses/ESRM450
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM451,ANALYT METH WILDLIFE,NW,https://myplan.uw.edu/course/#/courses/ESRM451
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM458,MGMT ENDANGERED SPE ,NW,https://myplan.uw.edu/course/#/courses/ESRM458
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM463,RESTORATION ECOL 2,NW,https://myplan.uw.edu/course/#/courses/ESRM463
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM478,PLANT ECOPHYSIOLOGY ,NW,https://myplan.uw.edu/course/#/courses/ESRM478
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM489,FOREIGN STUDY,,https://myplan.uw.edu/course/#/courses/ESRM489
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM490,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/ESRM490
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM494,CAPSTONE PROPOSAL,,https://myplan.uw.edu/course/#/courses/ESRM494
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM495,SENIOR PROJECT,,https://myplan.uw.edu/course/#/courses/ESRM495
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM496,SENIOR THESIS,,https://myplan.uw.edu/course/#/courses/ESRM496
Environmental Science and Resource Management (ESRM),ESRM,https://www.washington.edu/students/timeschd/WIN2021/esrm.html,ESRM499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ESRM499
