department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS100,DINOSAURS,NW,https://myplan.uw.edu/course/#/courses/ESS100
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS101,GEOLOGY & SOCIETY,I&S/NW,https://myplan.uw.edu/course/#/courses/ESS101
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS102,SPACE&SPACE TRAVEL,I&S/NW,https://myplan.uw.edu/course/#/courses/ESS102
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS106,LIVING WITH VOLCANO ,I&S/NW,https://myplan.uw.edu/course/#/courses/ESS106
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS203,GLACIERS/GLBL CHNGE ,I&S/NW,https://myplan.uw.edu/course/#/courses/ESS203
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS212,TECT & MATLS EARTH,NW,https://myplan.uw.edu/course/#/courses/ESS212
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS311,GEOMECHANICS,NW,https://myplan.uw.edu/course/#/courses/ESS311
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS315,ENVIR EARTH SCI,NW,https://myplan.uw.edu/course/#/courses/ESS315
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS412,INTRO SEISMOLOGY,NW,https://myplan.uw.edu/course/#/courses/ESS412
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS418,GEOSCIENCE COMM,,https://myplan.uw.edu/course/#/courses/ESS418
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS425,TECTONIC GEOMORPH,,https://myplan.uw.edu/course/#/courses/ESS425
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS439,PETRG/PETRL IGN RCK ,NW,https://myplan.uw.edu/course/#/courses/ESS439
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS447,ENGINEERING GEOLOGY ,,https://myplan.uw.edu/course/#/courses/ESS447
Earth and Space Sciences (ESS),ESS,https://www.washington.edu/students/timeschd/WIN2021/ess.html,ESS451,INVERT PALEONTOLOGY ,NW,https://myplan.uw.edu/course/#/courses/ESS451
