department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/FAMED499
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED556,SPAN HEALTH PROF,,https://myplan.uw.edu/course/#/courses/FAMED556
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED598,FAMED IND STDY REM,,https://myplan.uw.edu/course/#/courses/FAMED598
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED630P,P-WRITE FAMED CLK,,https://myplan.uw.edu/course/#/courses/FAMED630P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED631P,P-LIC FAMED OLY,,https://myplan.uw.edu/course/#/courses/FAMED631P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED632P,P-CLCLK FAMED BOZEM ,,https://myplan.uw.edu/course/#/courses/FAMED632P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED633P,P-CLCLK FAMED LEAVN ,,https://myplan.uw.edu/course/#/courses/FAMED633P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED634P,P-CLCLK FAMED SITKA ,,https://myplan.uw.edu/course/#/courses/FAMED634P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED635P,P-CLCLK FAMED CHEYNE,,https://myplan.uw.edu/course/#/courses/FAMED635P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED639P,P-CLCKFAMED DOUG,,https://myplan.uw.edu/course/#/courses/FAMED639P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED662P,P-CLCLK FAMED BUF,,https://myplan.uw.edu/course/#/courses/FAMED662P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED663P,P-FAMED PETERSBURG,,https://myplan.uw.edu/course/#/courses/FAMED663P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED664P,P-CLCLK FAMED BLNGS ,,https://myplan.uw.edu/course/#/courses/FAMED664P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED665P,P-CLCLK FAMED MISOU ,,https://myplan.uw.edu/course/#/courses/FAMED665P
Family Medicine (FAMED),FAMED,https://www.washington.edu/students/timeschd/WIN2021/famed.html,FAMED666P,P-CLCLK FAMED TORNG ,,https://myplan.uw.edu/course/#/courses/FAMED666P
