department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN205,PERS FIN LIT,,https://myplan.uw.edu/course/#/courses/FIN205
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN350,BUSINESS FINANCE,,https://myplan.uw.edu/course/#/courses/FIN350
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN428,INTL FINANCIAL MGMT ,,https://myplan.uw.edu/course/#/courses/FIN428
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN454,VALUATION INV FIN,,https://myplan.uw.edu/course/#/courses/FIN454
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN457,ENTREPRENEURIAL FIN ,,https://myplan.uw.edu/course/#/courses/FIN457
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN458,MERGERS & ACQUIST,,https://myplan.uw.edu/course/#/courses/FIN458
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN459,VENTURE INVESTING,,https://myplan.uw.edu/course/#/courses/FIN459
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN461,FIN FUT & OPT MKTS,,https://myplan.uw.edu/course/#/courses/FIN461
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN466,ALTRNTV INVESTMENTS ,,https://myplan.uw.edu/course/#/courses/FIN466
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN490,SPECIAL TOPIC-FIN,,https://myplan.uw.edu/course/#/courses/FIN490
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/FIN499
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN502,BUSINESS FINANCE,,https://myplan.uw.edu/course/#/courses/FIN502
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN557,ENTREPRENEURIAL FIN ,,https://myplan.uw.edu/course/#/courses/FIN557
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN558,MERGERS & ACQUIST,,https://myplan.uw.edu/course/#/courses/FIN558
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN561,FIN FUT & OPT MKTS,,https://myplan.uw.edu/course/#/courses/FIN561
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN566,ALTRNTV INVESTMENTS ,,https://myplan.uw.edu/course/#/courses/FIN566
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN579,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/FIN579
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN580,DOC SEM IN FIN ECON ,,https://myplan.uw.edu/course/#/courses/FIN580
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN591,CORPORATE FINANCE,,https://myplan.uw.edu/course/#/courses/FIN591
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN599,DOCTORAL SMNR-FIN,,https://myplan.uw.edu/course/#/courses/FIN599
Finance (FIN),FIN,https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/FIN600
