department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH270,AQUATIC ECOPHYSLGY,NW,https://myplan.uw.edu/course/#/courses/FISH270
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH290,SCI WRITING & COMM,,https://myplan.uw.edu/course/#/courses/FISH290
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH323,CONS & MGT AQUA RES ,NW,https://myplan.uw.edu/course/#/courses/FISH323
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH324,AQUATIC PHYSIOLOGY,NW,https://myplan.uw.edu/course/#/courses/FISH324
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH404,FISH DISEASES,NW,https://myplan.uw.edu/course/#/courses/FISH404
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH423,AQUA INVASION ECOL,NW,https://myplan.uw.edu/course/#/courses/FISH423
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH427,TROPICAL MAR BIOL,NW,https://myplan.uw.edu/course/#/courses/FISH427
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH464,ARCTIC MARINE ECOL,NW,https://myplan.uw.edu/course/#/courses/FISH464
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH477,MARINE BIOL SEMINAR ,NW,https://myplan.uw.edu/course/#/courses/FISH477
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH478,SUSTAINABLE FISH,I&S/NW,https://myplan.uw.edu/course/#/courses/FISH478
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH479,MARINE BIO RESEARCH ,,https://myplan.uw.edu/course/#/courses/FISH479
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH489,PEER TEACING AFS,,https://myplan.uw.edu/course/#/courses/FISH489
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH493,CAPSTONE 1 PROPOSAL ,,https://myplan.uw.edu/course/#/courses/FISH493
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH494,CAPSTONE 2 RESEARCH ,,https://myplan.uw.edu/course/#/courses/FISH494
Aquatic and Fishery Sciences (FISH),FISH,https://www.washington.edu/students/timeschd/WIN2021/fish.html,FISH495,CAPSTONE 3 SYNTHESIS,,https://myplan.uw.edu/course/#/courses/FISH495
