department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH101,ELEMENTARY FRENCH,,https://myplan.uw.edu/course/#/courses/FRENCH101
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH102,ELEMENTARY FRENCH,,https://myplan.uw.edu/course/#/courses/FRENCH102
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH103,ELEMENTARY FRENCH,,https://myplan.uw.edu/course/#/courses/FRENCH103
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH201,INTERMEDIATE FRENCH ,VLPA,https://myplan.uw.edu/course/#/courses/FRENCH201
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH202,INTERMEDIATE FRENCH ,VLPA,https://myplan.uw.edu/course/#/courses/FRENCH202
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH203,INTERMEDIATE FRENCH ,VLPA,https://myplan.uw.edu/course/#/courses/FRENCH203
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH228,LIT/FILM H20 CRISIS ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/FRENCH228
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH301,ADVANCED FRENCH,VLPA,https://myplan.uw.edu/course/#/courses/FRENCH301
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH302,ADVANCED FRENCH,VLPA,https://myplan.uw.edu/course/#/courses/FRENCH302
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH305,TEXTS & TRADITIONS 1,VLPA,https://myplan.uw.edu/course/#/courses/FRENCH305
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH378,MAKING CNTMP FRANCE ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/FRENCH378
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH390,SUPERVISED STUDY,,https://myplan.uw.edu/course/#/courses/FRENCH390
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH470,CINEMA,VLPA,https://myplan.uw.edu/course/#/courses/FRENCH470
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH490,HONORS SEMINAR,VLPA,https://myplan.uw.edu/course/#/courses/FRENCH490
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH499,SPEC TOPICS,,https://myplan.uw.edu/course/#/courses/FRENCH499
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH590,SPEC SMNR & CONFER,,https://myplan.uw.edu/course/#/courses/FRENCH590
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/FRENCH600
French (FRENCH),FRENCH,https://www.washington.edu/students/timeschd/WIN2021/french.html,FRENCH800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/FRENCH800
