department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH101,INTRO TO GLOBAL HLTH,I&S,https://myplan.uw.edu/course/#/courses/GH101
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH220,ENV CHNG PUBLC HLTH ,I&S,https://myplan.uw.edu/course/#/courses/GH220
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH305,GLOBAL HLTH JUSTICE ,I&S,https://myplan.uw.edu/course/#/courses/GH305
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH399,GH STUDY ABROAD,I&S,https://myplan.uw.edu/course/#/courses/GH399
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH402,GH RESEARCH & PROGS ,,https://myplan.uw.edu/course/#/courses/GH402
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH410,ADV BIOL GLBL DISEAS,NW,https://myplan.uw.edu/course/#/courses/GH410
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH418,CC HEALTH RISKS,,https://myplan.uw.edu/course/#/courses/GH418
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH419,GLOBAL BIOETHICS,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GH419
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH482,HLTH OF POPULATIONS ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GH482
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/GH499
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH502,GH RESEARCH & PROGS ,,https://myplan.uw.edu/course/#/courses/GH502
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH518,CC HEALTH RISKS,,https://myplan.uw.edu/course/#/courses/GH518
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH519,GLOBAL BIOETHICS,,https://myplan.uw.edu/course/#/courses/GH519
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH524,PROJ MGMT GLOBL HLTH,,https://myplan.uw.edu/course/#/courses/GH524
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH536,ADVD METHDS GH II,,https://myplan.uw.edu/course/#/courses/GH536
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH539,QUAL DATA ANALYSIS,,https://myplan.uw.edu/course/#/courses/GH539
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH543,GLOBAL PHARM MEDS,,https://myplan.uw.edu/course/#/courses/GH543
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH544,MCH IN LMICS,,https://myplan.uw.edu/course/#/courses/GH544
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH580,DOCTORAL SEMINAR,,https://myplan.uw.edu/course/#/courses/GH580
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH590,SELECTED TOPICS,,https://myplan.uw.edu/course/#/courses/GH590
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH592,PROGRAM SEMINARS,,https://myplan.uw.edu/course/#/courses/GH592
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH593,RETHINKING GLBL HLTH,,https://myplan.uw.edu/course/#/courses/GH593
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH595,MASTER'S PRACTICUM,,https://myplan.uw.edu/course/#/courses/GH595
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH600,INDEPENDENT STUDY,,https://myplan.uw.edu/course/#/courses/GH600
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH700,MASTER'S THESIS,,https://myplan.uw.edu/course/#/courses/GH700
Global Health (G H),G H,https://www.washington.edu/students/timeschd/WIN2021/gh.html,GH800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/GH800
