department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST197,FRESHMAN SEMINAR,,https://myplan.uw.edu/course/#/courses/GENST197
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST199,UNIV COMMUNITY,,https://myplan.uw.edu/course/#/courses/GENST199
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST297,UNDERGRAD SEMINAR,,https://myplan.uw.edu/course/#/courses/GENST297
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST344,"FIELDWK,SOC SERV",,https://myplan.uw.edu/course/#/courses/GENST344
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST346,FIELDWK EDUC,,https://myplan.uw.edu/course/#/courses/GENST346
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST347,FIELDWK-EDUCATION,,https://myplan.uw.edu/course/#/courses/GENST347
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST349,"FIELDWK,SPECIAL",,https://myplan.uw.edu/course/#/courses/GENST349
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST350,INDEPENDENT FLDWK,,https://myplan.uw.edu/course/#/courses/GENST350
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST391,SUP STDY SEL FIELDS ,,https://myplan.uw.edu/course/#/courses/GENST391
General Studies (GEN ST),GEN ST,https://www.washington.edu/students/timeschd/WIN2021/genst.html,GENST470,UG PEER INSTR PRACT ,,https://myplan.uw.edu/course/#/courses/GENST470
