department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME361,FUND GEN & GENOMICS ,NW,https://myplan.uw.edu/course/#/courses/GENOME361
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME465,ADV HUMAN GENETICS,NW,https://myplan.uw.edu/course/#/courses/GENOME465
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME466,CANCER GENETICS,NW,https://myplan.uw.edu/course/#/courses/GENOME466
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/GENOME499
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME501,INTR RSRCH MATERIAL ,,https://myplan.uw.edu/course/#/courses/GENOME501
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME520,SEMINAR,,https://myplan.uw.edu/course/#/courses/GENOME520
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME521,SEM IN COMP BIO,,https://myplan.uw.edu/course/#/courses/GENOME521
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME522,JOURNAL CLUB,,https://myplan.uw.edu/course/#/courses/GENOME522
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME523,RESEARCH REPORTS,,https://myplan.uw.edu/course/#/courses/GENOME523
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME525,TOPICS HUMAN GENET,,https://myplan.uw.edu/course/#/courses/GENOME525
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME540,COMP MOL BIOL I,,https://myplan.uw.edu/course/#/courses/GENOME540
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME551,GENE REGULATION,,https://myplan.uw.edu/course/#/courses/GENOME551
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME561,MOL POP GENET EVOL,,https://myplan.uw.edu/course/#/courses/GENOME561
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME565,ADV HUMAN GENETICS,,https://myplan.uw.edu/course/#/courses/GENOME565
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME581,DROSOPHILA GENETICS ,,https://myplan.uw.edu/course/#/courses/GENOME581
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME584,DNA REPLICATION,,https://myplan.uw.edu/course/#/courses/GENOME584
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME599,TOPICS GENOME SCI,,https://myplan.uw.edu/course/#/courses/GENOME599
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/GENOME600
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME650,TEACHING CLERKSHIP,,https://myplan.uw.edu/course/#/courses/GENOME650
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/GENOME700
Genome Sciences (GENOME),GENOME,https://www.washington.edu/students/timeschd/WIN2021/genome.html,GENOME800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/GENOME800
