department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG123,INTRO GLOBALIZATION ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GEOG123
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG180,INTRO TO GLOBAL HLTH,I&S,https://myplan.uw.edu/course/#/courses/GEOG180
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG258,DIGITAL GEOGRAPHIES ,I&S,https://myplan.uw.edu/course/#/courses/GEOG258
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG271,GEOG FOOD & EATING,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GEOG271
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG272,GEOG OF ENV JUSTICE ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GEOG272
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG326,QUANT METHODS GEOG,"I&S,QSR",https://myplan.uw.edu/course/#/courses/GEOG326
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG342,GEOG INEQUALITY,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GEOG342
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG360,GIS AND MAPPING,"I&S,QSR",https://myplan.uw.edu/course/#/courses/GEOG360
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG377,URBAN POLIT GEOG,I&S,https://myplan.uw.edu/course/#/courses/GEOG377
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG458,ADV DIGITAL GEOGS,"I&S,QSR",https://myplan.uw.edu/course/#/courses/GEOG458
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG461,URBAN GIS,I&S,https://myplan.uw.edu/course/#/courses/GEOG461
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG482,GIS DATA MANAGEMENT ,I&S,https://myplan.uw.edu/course/#/courses/GEOG482
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG491,PROF DEVEL FOR GEOG ,,https://myplan.uw.edu/course/#/courses/GEOG491
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG494,SENIOR ESSAY,I&S,https://myplan.uw.edu/course/#/courses/GEOG494
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG495,SPECIAL TOPICS,I&S,https://myplan.uw.edu/course/#/courses/GEOG495
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG496,INTERNSHIP IN GEOG,,https://myplan.uw.edu/course/#/courses/GEOG496
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG497,TUTORIAL IN GEOG,I&S,https://myplan.uw.edu/course/#/courses/GEOG497
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG499,SPECIAL STUDIES,,https://myplan.uw.edu/course/#/courses/GEOG499
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG511,RESEARCH DESIGN,,https://myplan.uw.edu/course/#/courses/GEOG511
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG522,"SPACE, TECH, & SOC",,https://myplan.uw.edu/course/#/courses/GEOG522
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG595,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/GEOG595
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG598,GEOG COLLOQUIUM,,https://myplan.uw.edu/course/#/courses/GEOG598
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/GEOG600
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/GEOG700
Geography (GEOG),GEOG,https://www.washington.edu/students/timeschd/WIN2021/geog.html,GEOG800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/GEOG800
