department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN101,FIRST-YEAR GERMAN,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN101
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN102,FIRST-YEAR GERMAN,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN102
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN199,SUPERVISED STUDY,,https://myplan.uw.edu/course/#/courses/GERMAN199
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN201,SECOND-YEAR GERMAN,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN201
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN202,SECOND-YEAR GERMAN,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN202
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN285,REPRSNTATION & DIV,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GERMAN285
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN295,JEWS & GERMAN CLTR,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/GERMAN295
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN298,TOPICS LIT &CULTURE ,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN298
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN299,SUPERVISED STUDY,,https://myplan.uw.edu/course/#/courses/GERMAN299
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN301,CONVERSTN & WRITING ,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN301
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN302,CONVERSTN & WRITING ,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN302
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN401,ADV WRITING & CONVS ,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN401
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN411,STDS MED LIT & CUL,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN411
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN444,THESIS IN GERMANICS ,VLPA,https://myplan.uw.edu/course/#/courses/GERMAN444
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN446,INTERNSHIP SERVICE,,https://myplan.uw.edu/course/#/courses/GERMAN446
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN447,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/GERMAN447
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN497,STUDIES GERMAN LIT,,https://myplan.uw.edu/course/#/courses/GERMAN497
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN498,STUDIES GERMAN LANG ,,https://myplan.uw.edu/course/#/courses/GERMAN498
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN499,STDYS GERMN CULTURE ,,https://myplan.uw.edu/course/#/courses/GERMAN499
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN500,LIT THEORY & BIBLIO ,,https://myplan.uw.edu/course/#/courses/GERMAN500
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN575,TEACHING LIT-CIV,,https://myplan.uw.edu/course/#/courses/GERMAN575
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN590,PHIL ISSUES GER CUL ,,https://myplan.uw.edu/course/#/courses/GERMAN590
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/GERMAN600
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/GERMAN700
German Studies (GERMAN),GERMAN,https://www.washington.edu/students/timeschd/WIN2021/germ.html,GERMAN800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/GERMAN800
