department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS200,INTRO WOMEN STUDIES ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GWSS200
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS251,GENDER/POP CULTURE,VLPA/I&S,https://myplan.uw.edu/course/#/courses/GWSS251
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS257,PSYCH OF GENDER,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GWSS257
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS290,SPEC TOP WOMEN STDY ,I&S,https://myplan.uw.edu/course/#/courses/GWSS290
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS302,FEM THEORY & METHOD ,I&S,https://myplan.uw.edu/course/#/courses/GWSS302
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS315,GENDER RACE SEX MED ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GWSS315
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS335,SEX & DISABILITY,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GWSS335
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS345,WOMEN INTL ECON DEV ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GWSS345
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS390,INTERMEDIATE TOPICS ,I&S,https://myplan.uw.edu/course/#/courses/GWSS390
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS438,JEWISH WOMEN IN AMER,"I&S,DIV",https://myplan.uw.edu/course/#/courses/GWSS438
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS489,BLACK CULTL STUDIES ,I&S,https://myplan.uw.edu/course/#/courses/GWSS489
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS490,SPEC TOP WOMEN STDY ,I&S,https://myplan.uw.edu/course/#/courses/GWSS490
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS493,SENIOR THSIS,I&S,https://myplan.uw.edu/course/#/courses/GWSS493
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS495,TUTORING WOMEN STDY ,,https://myplan.uw.edu/course/#/courses/GWSS495
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS496,GLOBAL FEMINISMS,I&S,https://myplan.uw.edu/course/#/courses/GWSS496
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS497,FIELDWORK WOMEN ST,,https://myplan.uw.edu/course/#/courses/GWSS497
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/GWSS499
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS502,CROSS DIS FEM THERY ,,https://myplan.uw.edu/course/#/courses/GWSS502
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS590,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/GWSS590
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS598,DIRECTED READINGS,,https://myplan.uw.edu/course/#/courses/GWSS598
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/GWSS600
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS700,MA THESIS,,https://myplan.uw.edu/course/#/courses/GWSS700
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS701,MA PRACTICUM,,https://myplan.uw.edu/course/#/courses/GWSS701
"Gender, Women, and Sexuality Studies (GWSS)",GWSS,https://www.washington.edu/students/timeschd/WIN2021/gwss.html,GWSS800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/GWSS800
