department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE210,EXPLORATIONS IN HCD ,I&S,https://myplan.uw.edu/course/#/courses/HCDE210
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE300,FOUNDATIONS OF HCDE ,,https://myplan.uw.edu/course/#/courses/HCDE300
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE301,ADV COMM HCDE,,https://myplan.uw.edu/course/#/courses/HCDE301
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE308,VISUAL COMM HCDE,VLPA,https://myplan.uw.edu/course/#/courses/HCDE308
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE313,INTRO USER RSRCH,,https://myplan.uw.edu/course/#/courses/HCDE313
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE318,INTRO USER CENT DES ,,https://myplan.uw.edu/course/#/courses/HCDE318
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE322,ORG TEAMWORK,,https://myplan.uw.edu/course/#/courses/HCDE322
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE419,CONCEPTS IN HCI,I&S,https://myplan.uw.edu/course/#/courses/HCDE419
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE438,WEB TECHNOLOGIES,,https://myplan.uw.edu/course/#/courses/HCDE438
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE439,PHYSICAL COMPUTING,,https://myplan.uw.edu/course/#/courses/HCDE439
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE492,CAPSTONE PLANNING,,https://myplan.uw.edu/course/#/courses/HCDE492
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE496,RESEARCH IN HCDE,,https://myplan.uw.edu/course/#/courses/HCDE496
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE499,SPECIAL PROJECTS,,https://myplan.uw.edu/course/#/courses/HCDE499
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE503,NAVIG DESIGN ORG,,https://myplan.uw.edu/course/#/courses/HCDE503
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE511,INFO VISUALIZATION,,https://myplan.uw.edu/course/#/courses/HCDE511
Human Centered Design and Engineering (HCDE),HCDE,https://www.washington.edu/students/timeschd/WIN2021/hcde.html,HCDE517,USABILITY STUDIES,,https://myplan.uw.edu/course/#/courses/HCDE517
