department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM408,MGMT CONCEPTS I,,https://myplan.uw.edu/course/#/courses/HIHIM408
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM409,DISEASE CONCPTS MGR ,,https://myplan.uw.edu/course/#/courses/HIHIM409
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM411,HEALTH DATA MGMT,,https://myplan.uw.edu/course/#/courses/HIHIM411
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM415,"CPT, DOC & REV MGMT ",,https://myplan.uw.edu/course/#/courses/HIHIM415
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM420,COMPTR SYS/HLTH,,https://myplan.uw.edu/course/#/courses/HIHIM420
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM425,RES DESIGN & STATS,,https://myplan.uw.edu/course/#/courses/HIHIM425
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM454,FINANCE/HLTH MGR,,https://myplan.uw.edu/course/#/courses/HIHIM454
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM460,PROF PATHWAYS,,https://myplan.uw.edu/course/#/courses/HIHIM460
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM470,LEGAL CONCEPTS/HLTH ,,https://myplan.uw.edu/course/#/courses/HIHIM470
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM499,INDEPENDENT STUDY,,https://myplan.uw.edu/course/#/courses/HIHIM499
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM510,ENTPRS SYS & EHRS,,https://myplan.uw.edu/course/#/courses/HIHIM510
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM520,LAW POLICY & ETHICS ,,https://myplan.uw.edu/course/#/courses/HIHIM520
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM535,CLIN VOCAB & TERM,,https://myplan.uw.edu/course/#/courses/HIHIM535
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM556,HLTHCARE QUAL TECH,,https://myplan.uw.edu/course/#/courses/HIHIM556
Health Informatics and Health Information (HIHIM),HIHIM,https://www.washington.edu/students/timeschd/WIN2021/95hihim.html,HIHIM599,CAPSTONE PROJECT,,https://myplan.uw.edu/course/#/courses/HIHIM599
